'bassin';'cycle';'produit';'daterempli';'datevide';'carpes';'datepsemis';'datedp�che';'nbremois';'poidssem�';'poidsp�ch�';'poidsrestant';'poidsp�ch�restant';'Tauxmortalit�';'poidsalimentth�o';'poidsalimentstat';'poidsalimentdonn�pgm';'poidsalimentdonn�';'poidsalimentdonn�tot';'quantsem�e';'quantmort';'quantp�ch�e';'quantrestante';'surface';'RendementHa';'poidsp�ch�mois';'tauxconversion';'quantit�m2';'grammesm2';'poidsalimentha';'recambiogallons';'llenadogallons';'quantsem�ecarpes';'quantp�ch�ecarpes';'tauxalerteO2';'niveaudalerteO2';'moyenneO2';'poidstotalimentselect';'typealimentselect'
'B03';57;'crevette';26/9/2016;15/12/2016;0;28/9/2016;15/12/2016;2,55;1,16;317,00;0,00;317,00;0,26;0,00;0,00;0,00;0,00;385,00;57755,00;15539,00;42216,00;0,00;997,00;6748,45;123,95;1,21;0,00;0,00;0,00;0,00;168000,00;0,00;0,00;0,00;1,00;4,10;0,00;
'B04';32;'crevette';29/9/2016;5/4/2017;0;3/10/2016;5/4/2017;6,03;223,00;1342,00;0,00;1342,00;0,08;0,00;0,00;0,00;0,00;2598,00;23912,00;2068,00;21844,00;0,00;3878,00;2605,80;222,45;2,32;0,00;0,00;0,00;105000,00;803400,00;96,00;98,00;0,00;1,00;3,53;0,00;
'A02';22;'tilapia';3/10/2016;12/1/2017;0;4/10/2016;12/1/2017;3,27;664,00;2736,00;0,00;2736,00;0,15;0,00;0,00;0,00;0,00;3590,00;3209,00;512,00;2697,00;0,00;3658,00;9412,02;834,48;1,73;0,00;0,00;0,00;0,00;0,00;1053,00;1029,00;0,01;1,00;2,90;0,00;
'B02';52;'tilapia';10/10/2016;28/12/2016;0;12/10/2016;28/12/2016;2,52;140,00;415,00;0,00;415,00;0,05;0,00;0,00;0,00;0,00;536,00;1609,00;88,00;1521,00;0,00;1233,00;4812,99;164,38;1,94;0,00;0,00;0,00;0,00;0,00;1737,02;1521,00;0,00;1,00;4,01;0,00;
'B36';31;'tilapia';13/10/2016;8/12/2016;0;14/10/2016;8/12/2016;1,80;876,00;1185,00;0,00;1185,00;0,01;0,00;0,00;0,00;0,00;768,00;1186,00;21,00;1250,00;0,00;2976,00;3136,89;657,13;2,48;0,00;0,00;0,00;0,00;0,00;0,00;93,00;0,00;1,00;3,14;0,00;
'B37';21;'crevette';14/10/2016;12/4/2017;0;17/10/2016;12/4/2017;5,80;310,00;1568,00;0,00;1568,00;0,18;0,00;0,00;0,00;0,00;3034,00;34035,00;6439,00;27596,00;0,00;5620,00;2101,39;270,19;2,41;0,00;0,00;0,00;0,00;0,00;70,00;132,00;0,00;1,00;2,78;0,00;
'NU';1;'tilapia';16/10/2016;8/11/2016;0;16/10/2016;8/11/2016;0,75;1,81;23,28;0,00;23,28;0,03;0,00;0,00;0,00;0,00;0,00;1829,00;67,00;1762,00;0,00;18,00;86186,36;30,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
'B57';14;'tilapia';18/10/2016;31/3/2017;0;18/10/2016;31/3/2017;5,37;2728,70;3978,61;0,00;3978,61;0,23;0,00;0,00;0,00;0,00;3559,00;7333,00;1752,00;5581,00;0,00;3224,00;3928,03;739,92;2,84;0,00;0,00;0,00;0,00;0,00;6910,09;4870,00;0,01;1,00;2,14;0,00;
'B01';49;'tilapia';6/11/2016;16/3/2017;0;8/11/2016;16/3/2017;4,19;351,28;1819,00;0,00;1819,00;0,31;0,00;0,00;0,00;0,00;2689,00;3207,00;1000,00;2207,00;0,00;1765,00;10795,02;433,43;1,83;0,00;0,00;0,00;0,00;0,00;1445,00;1125,00;0,00;1,00;3,18;0,00;
'B48';5;'tilapia';10/11/2016;3/11/2017;0;18/11/2016;3/11/2017;11,47;3157,50;7049,00;0,00;7049,00;0,14;0,00;0,00;0,00;0,00;11152,00;5999,00;845,00;5176,00;0,00;5421,00;3408,05;614,27;2,86;0,00;0,00;0,00;0,00;0,00;4526,00;3237,00;0,15;1,00;1,84;0,00;
