'bassin';'cycle';'produit';'daterempli';'datevide';'carpes';'datepsemis';'datedp�che';'nbremois';'poidssem�';'poidsp�ch�';'poidsrestant';'poidsp�ch�restant';'Tauxmortalit�';'poidsalimentth�o';'poidsalimentstat';'poidsalimentdonn�pgm';'poidsalimentdonn�';'poidsalimentdonn�tot';'quantsem�e';'quantmort';'quantp�ch�e';'quantrestante';'surface';'RendementHa';'poidsp�ch�mois';'tauxconversion';'quantit�m2';'grammesm2';'poidsalimentha';'recambiogallons';'llenadogallons';'quantsem�ecarpes';'quantp�ch�ecarpes';'tauxalerteO2';'niveaudalerteO2';'moyenneO2';'poidstotalimentselect';'typealimentselect'
'B12';16;'tilapia';10/3/2007;13/7/2007;0;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;3242,13;3242,00;0,00;0,00;0,00;0,00;
'B05';17;'crevette';2/1/2007;22/12/2007;0;5/1/2007;22/12/2007;11,50;189,00;1375,00;0,00;1375,00;0,36;0,00;0,00;0,00;0,00;3059,00;41924,00;15447,00;26477,00;0,00;3204,00;1752,35;119,48;2,57;0,00;0,00;0,00;0,00;0,00;79,93;49,00;0,00;1,00;2,89;0,00;
'B45';7;'crevette';5/1/2007;18/7/2007;0;9/1/2007;18/7/2007;6,22;1074,00;1020,00;0,00;1020,00;0,55;0,00;0,00;0,00;0,00;2559,00;48274,00;26613,00;21661,00;0,00;5352,00;-88,23;163,73;-47,38;0,00;0,00;0,00;342720,00;0,00;654,17;426,00;0,00;1,00;2,53;0,00;
'AD2';12;'crevette';13/1/2007;9/7/2007;0;19/1/2007;9/7/2007;5,60;72,00;241,00;0,00;241,00;0,67;0,00;0,00;0,00;0,00;771,00;14400,00;9699,00;4701,00;0,00;2098,00;782,74;42,98;4,56;0,00;0,00;0,00;0,00;262740,00;26,00;38,00;0,06;1,00;2,30;0,00;
'A01';10;'crevette';18/1/2007;4/5/2007;0;20/1/2007;4/5/2007;3,40;25,00;167,00;0,00;167,00;0,33;0,00;0,00;0,00;0,00;212,00;4750,00;1590,00;3160,00;0,00;751,00;3021,00;48,97;1,49;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;1,00;3,17;0,00;
'B32';10;'crevette';18/1/2007;3/7/2007;0;20/1/2007;3/7/2007;5,37;230,00;571,00;0,00;571,00;0,38;0,00;0,00;0,00;0,00;1472,00;20334,00;7844,00;12490,00;0,00;3993,00;865,26;106,19;4,31;0,00;0,00;0,00;485520,00;1199520,00;47,00;70,76;0,00;1,00;2,61;0,00;
'B25';11;'crevette';24/1/2007;6/11/2007;0;27/1/2007;6/11/2007;9,27;485,00;958,00;0,00;958,00;0,55;0,00;0,00;0,00;0,00;3405,00;48143,00;26833,00;21310,00;0,00;3760,00;738,62;103,24;7,19;0,00;0,00;0,00;108720,00;117780,00;109,00;123,00;0,02;1,00;2,14;0,00;
'B16';23;'crevette';25/1/2007;29/1/2008;0;27/1/2007;29/1/2008;12,03;186,00;536,00;0,00;536,00;0,49;0,00;0,00;0,00;0,00;2324,00;26237,00;12898,00;13339,00;0,00;1798,00;881,35;44,54;6,64;0,00;0,00;0,00;0,00;632700,00;31,00;742,66;0,00;1,00;2,70;0,00;
'B34';9;'crevette';13/2/2007;28/6/2007;0;23/2/2007;28/6/2007;4,09;247,00;453,00;0,00;453,00;0,04;0,00;0,00;0,00;0,00;489,00;9016,00;440,00;8576,00;0,00;2106,00;1300,27;110,53;2,37;0,00;0,00;0,00;0,00;0,00;37,00;31,00;0,00;1,00;3,14;0,00;
'A03';6;'crevette';25/2/2007;30/6/2007;0;;;;7,46;1325,00;0,00;1325,00;0,27;0,00;0,00;0,00;;2398,00;355086,00;97628,00;257458,00;0,00;4200,00;;;1,82;0,00;0,00;;0,00;0,00;0,00;0,00;0,07;1,00;2,42;0,00;'Eng CAM Ecuador'
'B43';7;'crevette';27/2/2007;13/9/2007;0;28/2/2007;13/9/2007;6,45;1105,00;1069,00;0,00;1069,00;0,60;0,00;0,00;0,00;0,00;2184,00;49054,00;29539,00;19515,00;0,00;6027,00;-50,38;165,50;-60,66;0,00;0,00;0,00;0,00;0,00;529,00;580,00;0,01;1,00;2,07;0,00;
'B01';28;'crevette';1/3/2007;29/6/2007;0;2/3/2007;29/6/2007;3,90;88,62;160,00;0,00;160,00;0,71;0,00;0,00;0,00;0,00;619,00;84152,00;60553,00;23599,00;0,00;880,00;1132,46;41,00;8,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;1,00;2,19;0,00;
'B14';13;'crevette';28/2/2007;21/8/2007;0;1/3/2007;21/8/2007;5,67;238,00;502,00;0,00;502,00;0,64;0,00;0,00;0,00;0,00;1973,00;28554,00;18306,00;10248,00;0,00;3800,00;667,28;88,50;7,47;0,00;0,00;0,00;88800,00;0,00;80,00;73,00;0,00;1,00;2,43;0,00;
'B56';11;'crevette';1/3/2007;6/7/2007;0;24/2/2007;6/7/2007;4,32;203,00;459,00;0,00;459,00;0,38;0,00;0,00;0,00;0,00;1433,00;21775,00;8447,00;13328,00;0,00;2800,00;1150,91;106,05;5,59;0,00;0,00;0,00;0,00;0,00;35,00;15,00;0,00;1,00;2,41;0,00;
'B31';15;'crevette';5/3/2007;29/6/2007;0;8/3/2007;26/6/2007;3,70;73,45;307,00;0,00;307,00;0,76;0,00;0,00;0,00;0,00;1359,00;175880,00;134551,00;41753,00;0,00;2079,00;1651,84;82,86;5,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;1,00;2,16;0,00;
'B13';14;'crevette';9/3/2007;6/9/2007;0;10/3/2007;6/9/2007;5,90;373,00;618,00;0,00;618,00;0,59;0,00;0,00;0,00;0,00;2042,00;32979,00;19560,00;13419,00;0,00;4000,00;565,41;104,71;8,33;0,00;0,00;0,00;0,00;0,00;95,00;58,00;8,26446280991736e-03;1,00;2,43;0,00;
'B55';9;'crevette';24/2/2007;12/4/2007;0;13/3/2007;12/4/2007;0,98;135,00;145,00;0,00;145,00;0,27;0,00;0,00;0,00;0,00;63,00;3997,00;1097,00;2900,00;0,00;2267,00;244,32;147,41;6,30;0,00;0,00;0,00;0,00;0,00;29,00;26,00;0,00;1,00;3,30;0,00;
'B35';14;'crevette';15/3/2007;15/8/2007;0;22/3/2007;15/8/2007;4,78;4,20;696,00;0,00;696,00;0,36;0,00;0,00;0,00;0,00;1466,00;171690,00;62888,00;108802,00;0,00;2106,00;3738,53;145,39;2,11;0,00;0,00;0,00;0,00;428400,00;0,00;0,00;0,09;1,00;2,25;0,00;
'B15';28;'crevette';25/3/2007;11/8/2007;0;28/3/2007;10/8/2007;4,45;84,19;309,00;0,00;309,00;0,78;0,00;0,00;0,00;0,00;1264,00;142906,00;112476,00;30430,00;0,00;1509,00;1820,19;69,29;5,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;1,00;3,17;0,00;
'B17';22;'crevette';3/4/2007;20/7/2007;0;4/4/2007;20/7/2007;3,50;74,07;581,00;0,00;581,00;0,69;0,00;0,00;0,00;0,00;1338,00;393348,00;274251,00;120184,00;0,00;3273,00;2405,19;165,61;2,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,16;1,00;1,81;0,00;
'B51';14;'crevette';22/4/2007;3/10/2007;0;23/4/2007;3/10/2007;5,34;206,15;1266,00;0,00;1266,00;0,53;0,00;0,00;0,00;0,00;4455,00;432951,00;230104,00;202847,00;0,00;4681,00;2308,09;236,88;4,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;2,87;0,00;
'B03';30;'crevette';1/5/2007;1/8/2007;0;29/4/2007;1/8/2007;3,08;197,67;440,00;0,00;440,00;0,23;0,00;0,00;0,00;0,00;613,00;87740,00;20644,00;67096,00;0,00;997,00;4296,49;142,76;2,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,45;0,00;
'B19';11;'crevette';3/5/2007;14/11/2007;0;4/5/2007;14/11/2007;6,36;131,00;601,00;0,00;601,00;0,57;0,00;0,00;0,00;0,00;1591,00;29441,00;17027,00;12414,00;0,00;3987,00;1009,68;94,48;3,38;0,00;0,00;0,00;0,00;0,00;95,00;96,00;0,00;1,00;2,60;0,00;
'A01';11;'crevette';14/5/2007;15/9/2007;0;14/5/2007;15/9/2007;4,06;1,54;230,00;0,00;230,00;0,65;0,00;0,00;0,00;0,00;508,00;67900,00;44697,00;23203,00;0,00;751,00;4076,44;56,57;2,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;1,00;2,44;0,00;
'B11';18;'crevette';10/5/2007;14/12/2007;0;10/5/2007;14/12/2007;7,14;111,00;685,00;0,00;685,00;0,51;0,00;0,00;0,00;0,00;2600,00;25457,00;13137,00;12320,00;0,00;3700,00;1182,47;95,83;4,52;0,00;0,00;0,00;0,00;0,00;100,00;61,00;0,00;1,00;2,66;0,00;
'B20';11;'crevette';10/5/2007;23/11/2007;0;10/5/2007;23/11/2007;6,45;136,00;950,00;0,00;950,00;0,43;0,00;0,00;0,00;0,00;2272,00;31234,00;13686,00;17548,00;0,00;4525,00;1517,31;147,08;2,79;0,00;0,00;0,00;0,00;0,00;112,00;46,00;6,36942675159236e-03;1,00;2,54;0,00;
'B08';22;'crevette';10/5/2007;26/11/2007;0;11/5/2007;26/11/2007;6,52;103,00;665,00;0,00;665,00;0,54;0,00;0,00;0,00;0,00;1721,00;27501,00;15107,00;12394,00;0,00;3926,00;1195,28;101,92;3,06;0,00;0,00;0,00;0,00;0,00;40,00;43,00;0,02;1,00;2,58;0,00;
'AD1';10;'crevette';18/5/2007;10/12/2007;0;18/5/2007;10/12/2007;6,75;147,00;705,00;0,00;705,00;0,61;0,00;0,00;0,00;0,00;2252,00;33345,00;20586,00;12759,00;0,00;4726,00;952,37;104,38;4,03;0,00;0,00;0,00;0,00;0,00;97,00;20,00;0,00;1,00;2,79;0,00;
'B24';11;'crevette';18/5/2007;10/9/2007;0;18/5/2007;10/9/2007;3,77;145,00;10,00;0,00;10,00;0,99;0,00;0,00;0,00;0,00;1925,00;34800,00;34485,00;315,00;0,00;5137,00;-379,71;2,65;-14,25;0,00;0,00;0,00;0,00;0,00;193,42;138,00;0,00;1,00;2,64;0,00;
'B27';8;'crevette';19/5/2007;5/12/2007;0;19/5/2007;5/12/2007;6,55;253,00;1213,00;0,00;1213,00;0,45;0,00;0,00;0,00;0,00;3840,00;40310,00;18210,00;22100,00;0,00;6081,00;1311,60;184,98;4,00;0,00;0,00;0,00;0,00;0,00;243,00;202,00;6,75675675675676e-03;1,00;2,89;0,00;
'B21';9;'crevette';9/6/2007;4/12/2007;0;9/6/2007;4/12/2007;5,83;188,00;582,00;0,00;582,00;0,52;0,00;0,00;0,00;0,00;2243,00;35870,00;18792,00;17078,00;0,00;5984,00;614,64;99,72;5,69;0,00;0,00;0,00;0,00;0,00;60,00;7,00;0,03;1,00;2,41;0,00;
'B22';10;'crevette';9/6/2007;6/12/2007;0;9/6/2007;6/12/2007;5,90;270,00;918,00;0,00;918,00;0,54;0,00;0,00;0,00;0,00;3156,00;36828,00;20186,00;16642,00;0,00;5800,00;1031,36;155,55;4,87;0,00;0,00;0,00;0,00;0,00;78,00;28,00;0,00;1,00;2,47;0,00;
'AD3';8;'crevette';9/6/2007;21/12/2007;0;9/6/2007;21/12/2007;6,39;195,00;726,00;0,00;726,00;0,49;0,00;0,00;0,00;0,00;1723,00;25806,00;12743,00;13063,00;0,00;4180,00;1082,48;113,55;3,24;0,00;0,00;0,00;0,00;0,00;62,00;44,00;0,00;1,00;2,44;0,00;
'B02';30;'crevette';12/6/2007;19/9/2007;0;12/6/2007;15/9/2007;3,24;108,51;250,00;0,00;250,00;0,64;0,00;0,00;0,00;0,00;341,00;81075,00;52448,00;28627,00;0,00;1233,00;1926,03;77,02;2,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,07;1,00;2,37;0,00;
'B36';17;'crevette';15/6/2007;2/1/2008;0;15/6/2007;2/1/2008;6,59;244,00;617,00;0,00;617,00;0,50;0,00;0,00;0,00;0,00;1932,00;22351,00;11192,00;11159,00;0,00;2976,00;1036,13;93,62;5,17;0,00;0,00;0,00;0,00;0,00;164,00;153,00;0,01;1,00;2,47;0,00;
'B26';18;'crevette';15/6/2007;19/12/2007;0;15/6/2007;19/12/2007;6,13;93,00;520,00;0,00;520,00;0,38;0,00;0,00;0,00;0,00;1185,00;15252,00;5843,00;9409,00;0,00;2709,00;1400,60;84,81;2,77;0,00;0,00;0,00;0,00;0,00;27,00;27,00;0,00;1,00;2,28;0,00;
'B04';17;'crevette';15/6/2007;3/12/2007;0;15/6/2007;3/12/2007;5,60;292,00;952,00;0,00;952,00;0,33;0,00;0,00;0,00;0,00;1969,00;25975,00;8632,00;17343,00;0,00;3878,00;1653,77;169,80;2,98;0,00;0,00;0,00;0,00;0,00;39,00;145,00;7,8740157480315e-03;1,00;2,57;0,00;
'B06';15;'crevette';29/6/2007;3/1/2008;0;29/6/2007;3/1/2008;6,16;80,00;739,00;0,00;739,00;0,39;0,00;0,00;0,00;0,00;2248,00;21760,00;8650,00;13110,00;0,00;3717,00;1567,01;119,89;3,41;0,00;0,00;0,00;0,00;0,00;44,00;72,00;0,00;1,00;2,96;0,00;
'B10';16;'crevette';4/7/2007;10/1/2008;0;4/7/2007;10/1/2008;6,22;131,00;583,00;0,00;583,00;0,47;0,00;0,00;0,00;0,00;1246,00;23752,00;11238,00;12514,00;0,00;3865,00;1022,75;93,58;2,75;0,00;0,00;0,00;0,00;0,00;65,00;34,00;0,05;1,00;2,12;0,00;
'B23';9;'crevette';7/7/2007;14/1/2008;0;7/7/2007;14/1/2008;6,26;209,00;825,00;0,00;825,00;0,49;0,00;0,00;0,00;0,00;2195,00;32660,00;16216,00;16444,00;0,00;5362,00;999,44;131,74;3,56;0,00;0,00;0,00;0,00;0,00;95,00;103,00;9,34579439252336e-03;1,00;2,20;0,00;
'A03';7;'crevette';7/7/2007;16/1/2008;0;7/7/2007;16/1/2008;6,32;78,00;601,00;0,00;601,00;0,52;0,00;0,00;0,00;0,00;1454,00;24590,00;12810,00;11780,00;0,00;4200,00;1072,09;94,97;2,78;0,00;0,00;0,00;0,00;0,00;60,00;42,00;0,05;1,00;2,24;0,00;
'L01';2;'tilapia';12/7/2007;25/1/2008;0;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4000,00;;;0,00;0,00;0,00;0,00;0,00;0,00;1545,00;3896,01;0,00;0,00;0,00;0,00;
'B12';17;'crevette';14/7/2007;7/2/2008;0;14/7/2007;7/2/2008;6,81;93,00;354,00;0,00;354,00;0,56;0,00;0,00;0,00;0,00;1880,00;24108,00;13708,00;10400,00;0,00;4000,00;521,25;51,90;7,20;0,00;0,00;0,00;0,00;0,00;110,00;1562,28;0,00;1,00;2,47;0,00;
'AD2';13;'crevette';19/7/2007;4/1/2008;0;19/7/2007;4/1/2008;5,54;66,00;406,00;0,00;406,00;0,43;0,00;0,00;0,00;0,00;1037,00;12880,00;5558,00;7322,00;0,00;2098,00;1593,39;73,27;3,05;0,00;0,00;0,00;0,00;0,00;31,00;24,00;0,00;1,00;2,62;0,00;
'B17';23;'crevette';31/7/2007;31/1/2008;0;31/7/2007;31/1/2008;6,03;145,00;539,00;0,00;539,00;0,42;0,00;0,00;0,00;0,00;1501,00;20433,00;8766,00;11667,00;0,00;3273,00;1087,09;89,34;3,80;0,00;0,00;0,00;0,00;0,00;54,00;29,00;0,00;1,00;2,16;0,00;
'B28';8;'crevette';6/8/2007;5/2/2008;0;6/8/2007;5/2/2008;6,00;126,00;668,00;0,00;668,00;0,44;0,00;0,00;0,00;0,00;1856,00;25578,00;11410,00;14168,00;0,00;4410,00;1115,95;111,33;3,42;0,00;0,00;0,00;0,00;0,00;60,00;59,00;0,00;1,00;2,16;0,00;
'B03';31;'crevette';8/8/2007;10/10/2007;0;7/8/2007;10/10/2007;2,09;52,05;236,00;0,00;236,00;0,66;0,00;0,00;0,00;0,00;310,00;98888,00;65417,00;33471,00;0,00;997,00;4790,26;112,46;1,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;1,00;2,68;0,00;
'B35';15;'crevette';17/8/2007;23/1/2008;0;17/8/2007;23/1/2008;5,21;94,00;364,00;0,00;364,00;0,49;0,00;0,00;0,00;0,00;930,00;12850,00;6298,00;6552,00;0,00;2106,00;1339,81;69,82;3,44;0,00;0,00;0,00;0,00;0,00;51,00;47,00;0,00;1,00;2,37;0,00;
'B39';8;'crevette';17/8/2007;14/2/2008;0;17/8/2007;14/2/2008;5,93;146,00;780,00;0,00;780,00;0,55;0,00;0,00;0,00;0,00;3322,00;34310,00;19058,00;15252,00;0,00;5768,00;1009,07;131,43;5,23;0,00;0,00;0,00;0,00;0,00;4,00;117,00;0,00;1,00;3,10;0,00;
'B15';29;'crevette';16/8/2007;14/11/2007;0;16/8/2007;14/11/2007;2,95;190,00;261,00;0,00;261,00;0,00;0,00;0,00;0,00;0,00;261,00;4613,00;0,00;4698,00;0,00;1509,00;868,68;88,45;3,67;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;1,00;2,59;0,00;
'B14';14;'crevette';1/9/2007;25/2/2008;0;1/9/2007;25/2/2008;5,80;178,90;796,00;0,00;796,00;0,75;0,00;0,00;0,00;0,00;2320,00;66658,00;50656,00;16002,00;0,00;3800,00;1524,52;137,16;3,75;0,00;0,00;0,00;0,00;0,00;35,00;48,00;0,00;1,00;2,83;0,00;
'B13';15;'crevette';13/9/2007;10/3/2008;0;14/9/2007;10/3/2008;5,83;177,00;849,00;0,00;849,00;0,36;0,00;0,00;0,00;0,00;1933,00;24072,00;8790,00;15282,00;0,00;4000,00;1568,28;145,47;2,87;0,00;0,00;0,00;0,00;0,00;55,50;44,00;0,00;1,00;2,72;0,00;
'B24';12;'crevette';13/9/2007;13/3/2008;0;14/9/2007;13/3/2008;5,93;381,00;887,00;0,00;887,00;0,51;0,00;0,00;0,00;0,00;3019,00;36587,00;18867,00;17720,00;0,00;5137,00;904,27;149,46;5,96;0,00;0,00;0,00;0,00;0,00;55,00;124,00;0,00;1,00;2,47;0,00;
'B31';16;'crevette';18/9/2007;28/11/2007;0;18/9/2007;28/11/2007;2,32;4,85;103,00;0,00;103,00;0,89;0,00;0,00;0,00;0,00;895,00;218125,00;194153,00;23972,00;0,00;2079,00;1104,82;44,24;9,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,87;0,00;
'B42';9;'crevette';19/9/2007;17/3/2008;0;19/9/2007;17/3/2008;5,90;201,00;1099,00;0,00;1099,00;0,32;0,00;0,00;0,00;0,00;2640,00;32160,00;10426,00;21734,00;0,00;5185,00;1598,79;186,21;2,93;0,00;0,00;0,00;0,00;0,00;45,00;46,00;0,00;1,00;3,47;0,00;
'B01';29;'crevette';19/9/2007;30/1/2008;0;19/9/2007;30/1/2008;4,36;35,00;216,00;0,00;216,00;0,05;0,00;0,00;0,00;0,00;291,00;5530,00;330,00;5200,00;0,00;880,00;2569,69;49,53;1,60;0,00;0,00;0,00;0,00;0,00;10,00;9,00;0,00;1,00;2,71;0,00;
'B41';10;'crevette';21/9/2007;19/3/2008;0;21/9/2007;19/3/2008;5,90;228,00;757,00;0,00;757,00;0,55;0,00;0,00;0,00;0,00;3415,00;37692,00;21066,00;16626,00;0,00;6275,00;778,22;128,26;6,45;0,00;0,00;0,00;0,00;0,00;90,00;68,00;0,00;1,00;3,70;0,00;
'B40';8;'crevette';29/9/2007;3/4/2008;0;29/9/2007;3/4/2008;6,13;286,00;1042,00;0,00;1042,00;0,41;0,00;0,00;0,00;0,00;3520,00;41080,00;17038,00;24042,00;0,00;6761,00;993,58;169,95;4,65;0,00;0,00;0,00;0,00;0,00;95,00;97,00;0,00;1,00;3,96;0,00;
'A01';12;'crevette';6/10/2007;7/12/2007;0;6/10/2007;7/12/2007;2,03;1,80;61,00;0,00;61,00;0,77;0,00;0,00;0,00;0,00;306,00;77100,00;59922,00;17178,00;0,00;751,00;2112,42;30,00;5,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,23;0,00;
'B38';8;'crevette';9/10/2007;20/2/2008;0;9/10/2007;20/2/2008;4,39;61,00;216,00;0,00;216,00;0,36;0,00;0,00;0,00;0,00;724,00;10125,00;3738,00;6387,00;0,00;5727,00;335,61;49,16;4,67;0,00;0,00;0,00;0,00;0,00;150,00;143,00;0,00;1,00;4,06;0,00;
'B51';15;'crevette';15/10/2007;24/1/2008;0;15/10/2007;24/1/2008;3,31;5,98;641,00;0,00;641,00;0,67;0,00;0,00;0,00;0,00;2475,00;358670,00;240490,00;118180,00;0,00;4681,00;2231,84;193,56;3,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;4,21;0,00;
'J13';1;'crevette';15/10/2007;13/11/2007;0;15/10/2007;13/11/2007;0,95;0,62;5,00;0,00;5,00;0,55;0,00;0,00;0,00;0,00;16,00;32119,00;17769,00;14350,00;0,00;20,00;12526,06;5,25;3,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
'B03';32;'crevette';25/10/2007;15/2/2008;0;31/10/2007;15/2/2008;3,50;2,32;205,00;0,00;205,00;0,72;0,00;0,00;0,00;0,00;425,00;109362,00;79048,00;30314,00;0,00;997,00;3156,87;58,43;2,09;0,00;0,00;0,00;0,00;0,00;153,00;139,00;0,00;1,00;0,00;0,00;
'B02';31;'crevette';5/11/2007;25/1/2008;0;6/11/2007;25/1/2008;2,62;1,82;83,00;0,00;83,00;0,80;0,00;0,00;0,00;0,00;207,00;73605,00;59313,00;14292,00;0,00;1233,00;1367,37;31,64;2,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
'B25';12;'crevette';10/11/2007;31/3/2008;0;13/11/2007;31/3/2008;4,55;504,00;586,00;0,00;586,00;0,48;0,00;0,00;0,00;0,00;1571,00;20464,00;9916,00;10548,00;0,00;3760,00;260,70;128,58;19,15;0,00;0,00;0,00;0,00;0,00;613,00;699,01;0,00;1,00;0,00;0,00;
'B29';14;'tilapia';12/11/2007;9/2/2009;0;13/11/2007;9/2/2009;14,88;452,69;2815,13;0,00;2815,13;0,48;0,00;0,00;0,00;0,00;4234,00;24336,00;11708,00;12635,00;0,00;3640,00;2375,41;189,12;1,79;0,00;0,00;0,00;0,00;0,00;2123,92;1089,00;0,00;1,00;0,00;0,00;'T-380 5/64"'
'B15';30;'tilapia';20/11/2007;28/11/2007;0;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
'B30';11;'tilapia';22/11/2007;6/1/2009;0;23/11/2007;3/1/2009;13,44;442,71;2021,57;0,00;2021,57;0,55;0,00;0,00;0,00;0,00;4075,00;24801,00;13852,00;10972,00;0,00;3360,00;1904,40;150,38;2,58;0,00;0,00;0,00;0,00;0,00;1750,93;617,00;0,00;1,00;0,00;0,00;'T-380 5/64"'
'B20';12;'tilapia';27/11/2007;18/3/2008;0;28/11/2007;18/3/2008;3,63;534,00;894,87;0,00;894,87;0,06;0,00;0,00;0,00;0,00;1424,00;555,00;38,00;517,00;0,00;4525,00;1193,85;245,88;3,94;0,00;0,00;0,00;0,00;0,00;555,00;517,00;0,00;1,00;0,00;0,00;'T-280 3/16"'
'B15';31;'tilapia';2/12/2007;6/2/2008;0;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;560,00;594,66;0,00;0,00;0,00;0,00;
'B04';18;'tilapia';4/12/2007;2/3/2009;0;4/12/2007;2/3/2009;14,88;292,00;2038,50;0,00;2038,50;0,53;0,00;0,00;0,00;0,00;;27384,00;14529,00;12855,00;0,00;3878,00;1648,32;136,94;;0,00;0,00;0,00;0,00;0,00;2095,74;1860,00;0,00;1,00;0,00;0,00;'T-380 5/64"'
'B19';12;'tilapia';1/12/2007;13/5/2008;0;1/12/2007;13/5/2008;5,37;1225,76;1475,81;0,00;1475,81;0,24;0,00;0,00;0,00;0,00;2259,00;1542,00;385,00;1157,00;0,00;3987,00;635,42;274,46;9,03;0,00;0,00;0,00;0,00;0,00;1542,00;1161,38;0,00;1,00;0,00;538,00;'T-280 3/16"'
'B37';8;'crevette';14/12/2007;13/8/2008;0;15/12/2007;13/8/2008;7,93;444,00;1132,00;0,00;1132,00;0,49;0,00;0,00;0,00;0,00;4532,00;45045,00;22154,00;22891,00;0,00;5620,00;840,56;142,66;6,58;0,00;0,00;0,00;0,00;0,00;219,67;177,00;0,00;1,00;0,00;0,00;
'B44';8;'crevette';14/12/2007;16/7/2008;0;15/12/2007;15/7/2008;7,01;411,00;1143,00;0,00;1143,00;0,54;0,00;0,00;0,00;0,00;4548,00;49628,00;27104,00;22524,00;0,00;6278,00;905,34;162,90;6,21;0,00;0,00;0,00;0,00;0,00;129,00;102,00;0,00;1,00;0,00;0,00;
'B31';17;'tilapia';18/12/2007;29/2/2008;0;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2079,00;;;0,00;0,00;0,00;0,00;0,00;0,00;2511,19;3800,10;0,00;0,00;0,00;0,00;
'B05';18;'tilapia';4/1/2008;23/2/2009;0;5/1/2008;23/2/2009;13,60;676,62;2476,32;0,00;2476,32;0,49;0,00;0,00;0,00;0,00;3824,00;17001,00;8495,00;8506,00;0,00;3204,00;2249,03;181,99;2,12;0,00;0,00;0,00;0,00;0,00;1630,39;954,00;0,00;1,00;0,00;0,00;'T-380 5/64"'
'B54';9;'crevette';11/1/2008;30/7/2008;0;12/1/2008;30/7/2008;6,55;235,00;844,00;0,00;844,00;0,47;0,00;0,00;0,00;0,00;1862,00;30820,00;14788,00;16032,00;0,00;6565,00;770,70;128,71;3,05;0,00;0,00;0,00;0,00;0,00;70,00;66,00;0,00;1,00;0,00;0,00;
'B46';7;'crevette';14/1/2008;12/5/2008;0;15/1/2008;12/5/2008;3,86;91,00;286,00;0,00;286,00;0,48;0,00;0,00;0,00;0,00;783,00;12421,00;6077,00;6344,00;0,00;4592,00;597,98;73,92;4,01;0,00;0,00;0,00;0,00;0,00;62,00;68,00;0,00;1,00;0,00;0,00;
'B08';23;'tilapia';17/1/2008;14/4/2009;0;17/1/2008;14/4/2009;14,85;1289,90;3721,05;0,00;3721,05;0,44;0,00;0,00;0,00;0,00;5728,00;26977,00;11928,00;15058,00;0,00;3926,00;2271,43;250,53;2,35;0,00;0,00;0,00;0,00;0,00;3305,65;3314,00;0,00;1,00;0,00;0,00;'T-380 5/64"'
'A02';9;'crevette';25/1/2008;27/8/2008;0;25/1/2008;27/8/2008;7,04;370,52;893,50;0,00;893,50;0,66;0,00;0,00;0,00;0,00;2300,00;173435,00;115948,00;57487,00;0,00;3658,00;1104,93;126,75;4,39;0,00;0,00;0,00;0,00;0,00;271,00;269,00;0,00;1,00;0,00;0,00;
'B06';16;'tilapia';6/2/2008;16/2/2009;0;6/2/2008;16/2/2009;12,32;499,72;2037,75;0,00;2037,75;0,82;0,00;0,00;0,00;0,00;4757,00;175962,00;145219,00;30743,00;0,00;3717,00;1828,60;165,29;3,09;0,00;0,00;0,00;144300,00;0,00;1775,89;1838,68;0,00;1,00;0,00;0,00;'T-380 5/64"'
