'bassin';'cycle';'lot';'datesemis';'quantit�';'quantit�ml';'quantit�lb';'poids';'commentaire';'grpoisson';'esp�ce'
'A02';0;0;28/7/2011;111,00;0,00;1,27;87,00;'AD2';355,83;'CAR'
'B43';0;0;28/7/2011;9,00;0,00;0,45;20,00;'B46';1008,88;'CAR'
'B06';20;1;29/7/2011;129100,00;123,00;55842,00;2,31;'baya';0,00;
'B06';20;1;29/7/2011;123420,00;121,00;54934,00;2,24;;0,00;
'B06';20;1;29/7/2011;44160,00;96,00;43584,00;1,01;;0,00;
'B51';17;1;29/7/2011;1016,00;0,00;1,16;875,00;'B54';390,99;
'B51';17;1;29/7/2011;407,00;0,00;6,35;64,00;'B54';71,39;
'B43';10;1;29/7/2011;40,00;0,00;0,66;60,00;'B54';681,00;
'B51';0;0;29/7/2011;1016,00;0,00;1,16;875,00;'B54';390,99;'CAR'
'B51';0;0;29/7/2011;407,00;0,00;6,35;64,00;'B54';71,39;'CAR'
'B46';0;0;29/7/2011;40,00;0,00;1,29;31,00;'B54';351,85;'CAR'
'B43';0;0;29/7/2011;40,00;0,00;0,66;60,00;'B54';681,00;'CAR'
'B07';0;0;29/7/2011;67,00;0,00;11,16;6,00;'B15';40,65;'CAR'
'B19';0;0;29/7/2011;37,00;0,00;3,70;10,00;'B15';122,70;'CAR'
'B19';16;3;29/7/2011;30,00;0,00;4,28;7,00;'sex m�lang�';105,93;
'B19';16;2;29/7/2011;37,00;0,00;3,70;10,00;'B15';122,70;
'B07';20;1;29/7/2011;67,00;0,00;11,16;6,00;'B15';40,65;
'B06';20;2;29/7/2011;476,00;0,00;28,00;17,00;'B15';0,00;
'B07';20;1;29/7/2011;588,00;0,00;12,00;49,00;'A01';37,83;
'B07';0;0;29/7/2011;588,00;0,00;12,00;49,00;'A01';37,83;'CAR'
'B07';20;1;29/7/2011;880,00;0,00;40,00;22,00;'AD2';11,35;
'B07';0;0;29/7/2011;880,00;0,00;40,00;22,00;'AD2';11,35;'CAR'
'B04';0;0;29/7/2011;30,00;0,00;1,50;20,00;'AD2';302,66;'CAR'
'B03';0;0;1/8/2011;4,00;0,00;0,40;10,00;'B10';1135,00;'CAR'
'B03';0;0;1/8/2011;4,00;0,00;0,36;11,00;'B11';1248,50;'CAR'
'B03';0;0;1/8/2011;50,00;0,00;0,33;150,00;'B12';1362,00;'CAR'
'B03';0;0;1/8/2011;5,00;0,00;0,50;10,00;'B13';908,00;'CAR'
'B03';40;1;1/8/2011;4,00;0,00;0,40;10,00;'B10';1135,00;
'B03';40;1;1/8/2011;4,00;0,00;0,36;11,00;'B11';1248,50;
'B03';40;1;1/8/2011;50,00;0,00;0,33;150,00;'B12';1362,00;
'B03';40;1;1/8/2011;5,00;0,00;0,50;10,00;'B13';908,00;
'B01';37;1;8/8/2011;20240,00;88,00;39952,00;0,50;'en +';0,00;
'B02';40;1;8/8/2011;20240,00;92,00;41768,00;0,48;;0,00;
'B02';40;1;8/8/2011;20240,00;92,00;41768,00;0,48;;0,00;
'B02';40;1;8/8/2011;27600,00;92,00;41768,00;0,66;;0,00;
'B02';40;1;8/8/2011;20240,00;88,00;39952,00;0,50;;0,00;
'B02';40;1;8/8/2011;20240,00;88,00;39952,00;0,50;;0,00;
'B03';41;2;8/8/2011;20240,00;88,00;39952,00;0,50;;0,00;
'B03';41;2;8/8/2011;20240,00;88,00;39952,00;0,50;;0,00;
'B03';41;2;8/8/2011;20240,00;88,00;39952,00;0,50;;0,00;
'B03';41;2;8/8/2011;20240,00;92,00;41768,00;0,48;;0,00;
'B51';17;1;3/8/2011;350,00;0,00;1,39;251,00;'B53';325,58;
'B51';17;2;3/8/2011;208,00;0,00;1,36;152,00;'B53';331,76;
'B51';0;0;3/8/2011;350,00;0,00;1,39;251,00;'B53';325,58;'CAR'
'A02';13;1;8/8/2011;175,00;0,00;1,54;113,00;'AD2';293,15;
'A01';0;0;8/8/2011;2016,53;0,00;28,00;72,00;'AD2';16,21;'CAR'
'A01';20;2;8/8/2011;2016,53;0,00;28,00;72,00;'AD2';16,21;
'A02';0;0;8/8/2011;175,00;0,00;1,54;113,00;'AD2';293,15;'CAR'
'B02';40;2;8/8/2011;252,00;0,00;18,00;14,00;'B11';0,00;
'B03';41;1;8/8/2011;270,00;0,00;18,00;15,00;'B11';0,00;
'B55';10;1;5/8/2011;100,00;0,00;10,00;10,00;'B53';45,40;
'B51';0;0;5/8/2011;277,00;0,00;1,30;213,00;'B53';349,10;'CAR'
'B55';0;0;5/8/2011;100,00;0,00;10,00;10,00;'B53';45,40;'CAR'
'B51';17;1;5/8/2011;100,00;0,00;1,40;71,00;'B54';322,34;
'B55';10;1;5/8/2011;132,00;0,00;5,73;23,00;'B54';79,10;
'B55';0;0;5/8/2011;132,00;0,00;5,73;23,00;'B54';79,10;'CAR'
'B51';0;0;5/8/2011;100,00;0,00;1,40;71,00;'B54';322,34;'CAR'
'A01';0;0;5/8/2011;102,02;0,00;34,00;3,00;'AD2';13,35;'CAR'
'B19';16;3;5/8/2011;10,00;0,00;1,25;8,00;'???';363,20;
'B19';16;2;5/8/2011;10,00;0,00;2,00;5,00;'B15';227,00;
'A01';20;2;5/8/2011;19,00;0,00;0,31;60,00;'B03';1433,68;
'B01';0;0;;;0,00;;0,00;;0,00;'CAR'
'B03';0;0;;;0,00;;0,00;;0,00;'CAR'
'A01';20;2;6/8/2011;6,00;0,00;0,50;12,00;'B03';908,00;
'A03';13;2;9/8/2011;675,00;0,00;25,00;27,00;'peq B10';0,00;
'B25';0;0;9/8/2011;10,00;0,00;1,25;8,00;'peq B10';363,20;'CAR'
'B42';13;2;9/8/2011;1062,00;0,00;18,00;59,00;'16/20 B40';0,00;
'B37';0;0;9/8/2011;41,00;0,00;1,36;30,00;'B40';332,19;'CAR'
'B42';13;2;9/8/2011;450,00;0,00;18,00;25,00;'16/20 B41';0,00;
'B39';0;0;9/8/2011;28,00;0,00;1,40;20,00;'B41';324,28;'CAR'
'B42';13;2;9/8/2011;1818,00;0,00;18,00;101,00;'16/20 B46';0,00;
'B42';0;0;9/8/2011;37,00;0,00;1,32;28,00;'B46';343,56;'CAR'
'B08';0;0;15/8/2011;5,00;0,00;1,25;4,00;'B08';363,20;'CAR'
'B38';0;0;16/8/2011;6,00;0,00;1,50;4,00;'B40';302,66;'CAR'
'B36';23;1;12/8/2011;5000,00;0,00;151,33;33,03;'idiaf';3,00;
'B36';0;0;18/8/2011;85,00;0,00;1,41;60,00;'B35';320,47;'CAR'
'B39';0;0;18/8/2011;169,00;0,00;2,64;64,00;'B35';171,92;'CAR'
'B19';16;2;19/8/2011;192,00;0,00;4,46;43,00;'B15';101,67;
'B36';23;2;18/8/2011;85,00;0,00;1,41;60,00;'B35';320,47;
'B19';0;0;19/8/2011;192,00;0,00;4,46;43,00;'B15';101,67;'CAR'
'B44';0;0;19/8/2011;231,00;0,00;3,30;70,00;'B54';137,57;'CAR'
'B44';0;0;20/8/2011;207,00;0,00;3,39;61,00;'B54';133,78;'CAR'
'B17';0;0;24/8/2011;100,00;0,00;1,53;65,00;'Del B25; grosses carpes';295,10;'CAR'
'B17';0;0;24/8/2011;715,00;0,00;13,00;55,00;'Del B25; petites carpes';34,92;'CAR'
'B19';0;0;24/8/2011;500,00;0,00;1,49;334,00;'Del B25';303,27;'CAR'
'A02';0;0;24/8/2011;430,00;0,00;1,49;287,00;'B25';303,01;'CAR'
'B26';0;0;24/8/2011;30,00;0,00;1,66;18,00;'B25';272,40;'CAR'
'B24';0;0;24/8/2011;40,00;0,00;1,60;25,00;'B25';283,75;'CAR'
'B23';0;0;24/8/2011;40,00;0,00;1,66;24,00;'B25';272,40;'CAR'
'B22';0;0;24/8/2011;40,00;0,00;1,66;24,00;'B25';272,40;'CAR'
'B24';16;1;24/8/2011;720,00;0,00;18,00;40,00;'B25';0,00;
'B17';0;0;24/8/2011;675,00;0,00;15,00;45,00;'A01';30,26;'CAR'
'B58';0;0;24/8/2011;313,00;0,00;1,58;198,00;'B47';287,19;'CAR'
'B44';0;0;24/8/2011;160,00;0,00;4,57;35,00;'B47';99,31;'CAR'
'B58';0;0;24/8/2011;52,00;0,00;1,73;30,00;'B53';261,92;'CAR'
'B44';0;0;24/8/2011;50,00;0,00;10,00;5,00;'B53';45,40;'CAR'
'B58';9;1;24/8/2011;313,00;0,00;1,58;198,00;'B47';287,19;
'B20';0;0;6/9/2011;100,00;0,00;2,50;40,00;'B07';181,60;'CAR'
'B20';0;0;6/9/2011;910,00;0,00;10,00;91,00;'B07';45,40;'CAR'
'B58';9;1;9/9/2011;700,00;0,00;1,61;433,00;'B47';280,83;
'B56';13;1;9/9/2011;1380,00;0,00;4,00;345,00;'B47';113,50;
'B20';17;1;9/9/2011;634,00;0,00;5,07;125,00;'B07';89,51;
'AD1';15;1;9/9/2011;20,00;0,00;1,00;20,00;'B07';454,00;
'AD2';15;2;9/9/2011;130,00;0,00;3,51;37,00;'B07';129,21;
'B17';28;2;9/9/2011;1200,00;0,00;16,00;75,00;'B07';28,37;
'B58';0;0;9/9/2011;700,00;0,00;1,61;433,00;'B47';280,83;'CAR'
'B56';0;0;9/9/2011;1380,00;0,00;4,00;345,00;'B47';113,50;'CAR'
'AD1';0;0;9/9/2011;20,00;0,00;1,00;20,00;'B07';454,00;'CAR'
'AD2';0;0;9/9/2011;130,00;0,00;3,51;37,00;'B07';129,21;'CAR'
'B17';0;0;9/9/2011;1200,00;0,00;16,00;75,00;'B07';28,37;'CAR'
'AD2';15;2;10/9/2011;20,00;0,00;1,81;11,00;'B07';249,70;
'AD2';15;1;10/9/2011;10,00;0,00;5,00;2,00;'B07';90,80;
'AD2';0;0;10/9/2011;20,00;0,00;1,81;11,00;'B07';249,70;'CAR'
'B24';16;1;12/9/2011;260,00;0,00;26,00;10,00;'B08';0,00;
'B15';37;1;13/9/2011;775,00;0,00;5,00;155,00;'B28';90,80;
'B35';23;2;13/9/2011;6,00;0,00;2,00;3,00;'B31';227,00;
'B35';23;1;13/9/2011;800,00;0,00;3,72;215,00;'B31';122,01;
'B35';0;0;13/9/2011;6,00;0,00;2,00;3,00;'B31';227,00;'CAR'
'B45';0;0;19/9/2011;140,00;0,00;2,85;49,00;'B46';158,90;'CAR'
'B45';10;1;19/9/2011;140,00;0,00;2,85;49,00;'B46';158,90;
'B27';0;0;21/9/2011;40,00;0,00;1,73;23,00;'B29';261,05;'CAR'
'B21';0;0;21/9/2011;40,00;0,00;2,00;20,00;'B29';227,00;'CAR'
'B35';23;2;22/9/2011;200,00;0,00;2,53;79,00;'B29';179,33;
'B34';0;0;22/9/2011;50,00;0,00;1,56;32,00;'B29';290,56;'CAR'
'B35';0;0;22/9/2011;200,00;0,00;2,53;79,00;'B29';179,33;'CAR'
'B21';14;1;21/9/2011;40,00;0,00;2,00;20,00;'B29';227,00;
'B13';21;1;23/9/2011;11726,00;0,00;286,00;41,00;'B01';0,00;
'B10';21;1;23/9/2011;5700,00;0,00;285,00;20,00;'B02';0,00;
'B10';21;1;23/9/2011;2601,00;0,00;289,00;9,00;'B02';0,00;
'B10';21;1;23/9/2011;2920,00;0,00;292,00;10,00;'B06';0,00;
'B04';22;2;23/9/2011;180,00;0,00;18,00;10,00;'B06 Policia';0,00;
'B21';14;2;23/9/2011;3003,00;0,00;11,00;273,00;'B36';41,27;
'B04';0;0;23/9/2011;18,00;0,00;1,20;15,00;'B01';378,33;'CAR'
'AD1';15;1;28/9/2011;450,00;0,00;1,78;252,00;'B30';254,24;
'AD1';0;0;28/9/2011;450,00;0,00;1,78;252,00;'B30';254,24;'CAR'
'B40';13;1;29/9/2011;26200,00;0,00;200,00;131,00;'B34';0,00;
'B40';13;1;29/9/2011;9024,00;0,00;192,00;47,00;'B34';0,00;
'B25';16;1;29/9/2011;578,00;0,00;2,72;212,00;'B31';166,51;
'B35';23;2;29/9/2011;44,00;0,00;2,20;20,00;'B29';206,36;
'B15';37;2;29/9/2011;40,00;0,00;1,42;28,00;'B29';317,80;
'B15';0;0;29/9/2011;40,00;0,00;1,42;28,00;'B29';317,80;'CAR'
'B04';0;0;29/9/2011;22,00;0,00;1,29;17,00;'B29';350,81;'CAR'
'B27';0;0;29/9/2011;31,00;0,00;1,55;20,00;'B29';292,90;'CAR'
'B37';0;0;29/9/2011;40,00;0,00;2,00;20,00;'B29';227,00;'CAR'
'B35';0;0;29/9/2011;44,00;0,00;2,20;20,00;'B29';206,36;'CAR'
'B04';22;3;;;0,00;;0,00;;0,00;
'B27';13;2;;;0,00;;0,00;;0,00;
'B45';0;0;3/10/2011;29,00;0,00;1,61;18,00;'B46';281,79;'CAR'
'B45';10;1;3/10/2011;29,00;0,00;1,61;18,00;'B46';281,79;
'B40';0;0;4/10/2011;13,00;0,00;2,60;5,00;'B46';174,61;'CAR'
'B40';13;1;4/10/2011;5405,00;0,00;235,00;23,00;'B34';0,00;
'B07';21;1;4/10/2011;13377,00;0,00;273,00;49,00;'B01';0,00;
'B10';21;1;4/10/2011;12152,00;0,00;217,00;56,00;'B06';0,00;
'B13';21;1;4/10/2011;2190,00;0,00;219,00;10,00;'B06';0,00;
'B25';16;1;4/10/2011;174,00;0,00;2,55;68,00;'B31';177,42;
'A01';21;1;4/10/2011;1349,58;0,00;53,98;25,00;'B31';8,41;
'A01';0;0;;;0,00;;0,00;;0,00;'CAR'
'A01';0;0;4/10/2011;1350,00;0,00;54,00;25,00;'B31';8,40;'CAR'
'B13';0;0;4/10/2011;40,00;0,00;2,35;17,00;'B30';192,95;'CAR'
'B40';0;0;4/10/2011;54,00;0,00;1,80;30,00;'B30';252,22;'CAR'
'AD1';15;1;4/10/2011;19,00;0,00;1,35;14,00;'B30';334,52;
'B24';16;1;4/10/2011;60,00;0,00;12,00;5,00;'B30';0,00;
'AD1';0;0;4/10/2011;19,00;0,00;1,35;14,00;'B30';334,52;'CAR'
'B25';16;1;4/10/2011;100,00;0,00;2,04;49,00;'B30';222,46;
'B25';16;1;7/10/2011;307,00;0,00;2,45;125,00;'B31';184,85;
'B30';16;4;7/10/2011;280,00;0,00;28,00;10,00;'B31';16,21;
'A01';21;1;7/10/2011;308,00;0,00;28,00;11,00;'B31';16,21;
'B58';9;1;7/10/2011;130,00;0,00;1,42;91,00;'B55';317,80;
'B30';16;4;7/10/2011;200,00;0,00;3,70;54,00;'B55';122,58;
'B30';16;4;7/10/2011;1060,00;0,00;4,00;265,00;'B55';113,50;
'B30';16;3;7/10/2011;4,00;0,00;0,66;6,00;'B31';681,00;
'B30';0;0;7/10/2011;4,00;0,00;0,66;6,00;'B31';681,00;'CAR'
'B30';0;0;7/10/2011;280,00;0,00;28,00;10,00;'B31';16,21;'CAR'
'A01';0;0;7/10/2011;308,00;0,00;28,00;11,00;'B31';16,21;'CAR'
'B58';0;0;7/10/2011;130,00;0,00;1,42;91,00;'B55';317,80;'CAR'
'B30';0;0;7/10/2011;1060,00;0,00;4,00;265,00;'B55';113,50;'CAR'
'B30';0;0;7/10/2011;200,00;0,00;3,70;54,00;'B55';122,58;'CAR'
'B58';9;1;8/10/2011;80,00;0,00;1,60;50,00;'B55';283,75;
'B56';13;1;8/10/2011;128,00;0,00;4,74;27,00;'B55';95,76;
'B56';13;1;8/10/2011;197,00;0,00;7,57;26,00;'B55';59,91;
'B58';0;0;8/10/2011;80,00;0,00;1,60;50,00;'B55';283,75;'CAR'
'B56';0;0;8/10/2011;128,00;0,00;4,74;27,00;'B55';95,76;'CAR'
'B56';0;0;8/10/2011;197,00;0,00;7,57;26,00;'B55';59,91;'CAR'
'A03';13;2;10/10/2011;240,00;0,00;24,00;10,00;'B04';0,00;
'A02';0;0;10/10/2011;18,00;0,00;0,75;24,00;'B04';605,33;'CAR'
'A02';13;1;10/10/2011;18,00;0,00;0,75;24,00;'B04';605,33;
'A03';13;2;11/10/2011;280,00;0,00;28,00;10,00;'B04';0,00;
'B07';21;1;12/10/2011;4560,00;0,00;228,00;20,00;'B01';0,00;
'B11';23;1;12/10/2011;5472,00;0,00;228,00;24,00;'B01';0,00;
'B11';23;1;12/10/2011;3825,00;0,00;225,00;17,00;'B02';0,00;
'B11';23;1;12/10/2011;10360,00;0,00;185,00;56,00;'B02';0,00;
'B12';22;1;12/10/2011;11340,00;0,00;140,00;81,00;'B03';0,00;
'B12';22;1;12/10/2011;7840,00;0,00;140,00;56,00;'B03';0,00;
'B02';0;0;;;0,00;;0,00;;0,00;'CAR'
'B10';0;0;12/10/2011;37,00;0,00;2,84;13,00;'B02';159,51;'CAR'
'B06';0;0;12/10/2011;65,00;0,00;1,16;56,00;'B17';391,13;'CAR'
'B02';0;0;;;0,00;;0,00;;0,00;'CAR'
'B02';0;0;;;0,00;;0,00;;0,00;'CAR'
'B11';0;0;12/10/2011;37,00;0,00;2,84;13,00;'B17';159,51;'CAR'
'B11';23;1;14/10/2011;2576,00;0,00;184,00;14,00;'B02';0,00;
'B12';22;1;14/10/2011;2392,00;0,00;184,00;13,00;'B02';0,00;
'B12';22;1;14/10/2011;2320,00;0,00;232,00;10,00;'B01';0,00;
'B12';22;1;14/10/2011;123,00;0,00;123,00;1,00;'B03';0,00;
'B14';20;1;14/10/2011;1845,00;0,00;123,00;15,00;'B03';0,00;
'B14';20;1;14/10/2011;917,00;0,00;131,00;7,00;'B03';0,00;
'B25';16;2;14/10/2011;658,00;0,00;1,88;349,00;'B29';240,79;
'B34';0;0;14/10/2011;40,00;0,00;1,25;32,00;'B29';363,20;'CAR'
'B07';0;0;14/10/2011;40,00;0,00;1,90;21,00;'B29';238,35;'CAR'
'B22';0;0;14/10/2011;40,00;0,00;1,14;35,00;'B29';397,25;'CAR'
'B25';0;0;14/10/2011;658,00;0,00;1,88;349,00;'B29';240,79;'CAR'
'B13';21;1;18/10/2011;5635,00;0,00;245,00;23,00;'B01';0,00;
'B14';20;1;18/10/2011;2592,00;0,00;162,00;16,00;'B02';0,00;
'B14';20;1;19/10/2011;6696,00;0,00;279,00;24,00;'B01';0,00;
'B14';20;1;19/10/2011;864,00;0,00;96,00;9,00;'B03';0,00;
'B13';21;1;19/10/2011;4590,00;0,00;153,00;30,00;'B06';0,00;
'B14';20;1;19/10/2011;3672,00;0,00;153,00;24,00;'B06';0,00;
'B14';20;1;20/10/2011;200,00;0,00;100,00;2,00;'B03';0,00;
'B21';14;3;20/10/2011;300,00;0,00;2,43;123,00;'B28';186,14;
'B43';11;1;20/10/2011;300,00;0,00;2,41;124,00;'B28';187,65;
'B27';0;0;20/10/2011;30,00;0,00;0,42;70,00;'B28';1059,33;'CAR'
'B43';11;2;20/10/2011;150,00;0,00;1,25;120,00;'B56';363,20;
'B43';11;2;20/10/2011;235,00;0,00;2,73;86,00;'B56';166,14;
'B57';5;2;20/10/2011;23,00;0,00;0,76;30,00;'B56';592,17;
'B43';0;0;20/10/2011;150,00;0,00;1,25;120,00;'B56';363,20;'CAR'
'B43';0;0;20/10/2011;235,00;0,00;2,73;86,00;'B56';166,14;'CAR'
'B14';20;1;21/10/2011;720,00;0,00;80,00;9,00;'B03';0,00;
'B08';28;1;21/10/2011;640,00;0,00;80,00;8,00;'B03';0,00;
'B14';20;1;21/10/2011;5320,00;0,00;140,00;38,00;'B06';0,00;
'B08';28;1;21/10/2011;2520,00;0,00;140,00;18,00;'B06';0,00;
'B57';5;2;21/10/2011;11,00;0,00;0,61;18,00;'B56';742,90;
'B43';11;2;21/10/2011;235,00;0,00;1,32;178,00;'B56';343,88;
'B43';0;0;21/10/2011;235,00;0,00;1,32;178,00;'B56';343,88;'CAR'
'B40';13;1;24/10/2011;494,00;0,00;26,00;19,00;'B37';0,00;
'B43';0;0;24/10/2011;26,00;0,00;1,44;18,00;'B37';314,30;'CAR'
'B43';11;2;24/10/2011;26,00;0,00;1,44;18,00;'B37';314,30;
'B43';11;2;25/10/2011;250,00;0,00;1,82;137,00;'B56';248,79;
'B43';0;0;25/10/2011;250,00;0,00;1,82;137,00;'B56';248,79;'CAR'
'B43';11;2;26/10/2011;137,00;0,00;1,77;77,00;'B56';255,16;
'B43';0;0;26/10/2011;137,00;0,00;1,77;77,00;'B56';255,16;'CAR'
'B07';0;0;26/10/2011;160,00;0,00;1,49;107,00;'AD1';303,61;'CAR'
'B12';0;0;26/10/2011;100,00;0,00;1,47;68,00;'AD1';308,72;'CAR'
'B14';0;0;26/10/2011;100,00;0,00;1,44;69,00;'B14';313,26;'CAR'
'B43';11;2;27/10/2011;292,00;0,00;2,45;119,00;'B56';185,02;
'B54';12;1;27/10/2011;88,00;0,00;5,17;17,00;'B56';87,70;
'B53';8;2;27/10/2011;365,00;0,00;3,76;97,00;'B44';120,65;
'B53';8;1;27/10/2011;3155,00;0,00;5,00;631,00;'B44';90,80;
'B45';10;1;27/10/2011;9,00;0,00;0,69;13,00;'B44';655,77;
'B07';21;1;27/10/2011;3888,00;0,00;108,00;36,00;'B02';0,00;
'B08';28;1;27/10/2011;1344,00;0,00;112,00;12,00;'B02';0,00;
'B43';0;0;27/10/2011;292,00;0,00;2,45;119,00;'B56';185,02;'CAR'
'B54';0;0;27/10/2011;118,00;0,00;3,10;38,00;'B56';146,20;'CAR'
'B53';0;0;27/10/2011;365,00;0,00;3,76;97,00;'B44';120,65;'CAR'
'B45';0;0;27/10/2011;9,00;0,00;0,69;13,00;'B44';655,77;'CAR'
'B08';28;1;28/10/2011;6500,00;0,00;100,00;65,00;'B02';0,00;
'B53';8;2;28/10/2011;80,00;0,00;4,00;20,00;'B44';113,50;
'B53';8;1;28/10/2011;430,00;0,00;5,00;86,00;'B44';90,80;
'B31';23;2;28/10/2011;1044,00;0,00;3,60;290,00;'B36';126,11;
'B31';23;1;28/10/2011;81,00;0,00;0,91;89,00;'B36';498,83;
'B05';22;2;28/10/2011;90,00;0,00;18,00;5,00;'B02';0,00;
'B46';10;1;1/11/2011;9900,00;0,00;150,00;66,00;'B34';0,00;
'B46';10;1;1/11/2011;9928,00;0,00;146,00;68,00;'B34';0,00;
'B05';22;2;1/11/2011;270,00;0,00;18,00;15,00;'B06';0,00;
'B04';23;1;1/11/2011;15515,00;0,00;107,00;145,00;'B06';0,00;
'B08';28;1;1/11/2011;6420,00;0,00;107,00;60,00;'B06';0,00;
'B54';12;2;1/11/2011;986,00;0,00;4,04;244,00;'B44';112,34;
'B54';12;1;1/11/2011;240,00;0,00;4,28;56,00;'B44';105,93;
'B46';0;0;1/11/2011;45,00;0,00;2,25;20,00;'B44';201,77;'CAR'
'B54';0;0;1/11/2011;240,00;0,00;4,28;56,00;'B44';105,93;'CAR'
'B33';16;1;1/11/2011;35,00;0,00;1,40;25,00;'B36';324,28;
'B33';16;2;1/11/2011;1279,00;0,00;4,32;296,00;'B36';105,06;
'B31';0;0;28/10/2011;81,00;0,00;0,91;89,00;'B36';498,83;'CAR'
'B33';0;0;1/11/2011;35,00;0,00;1,40;25,00;'B36';324,28;'CAR'
'A03';0;0;;;0,00;;0,00;;0,00;'CAR'
'B04';23;1;1/11/2011;1845,00;0,00;123,00;15,00;'B06';0,00;
'A02';13;1;2/11/2011;60,00;0,00;1,09;55,00;'AD1';416,16;
'A01';21;1;2/11/2011;224,97;0,00;14,99;15,00;'AD1';30,27;
'B25';16;2;2/11/2011;63,00;0,00;1,05;60,00;'AD1';432,38;
'A01';0;0;2/11/2011;89,99;0,00;14,99;6,00;'AD1';30,27;'CAR'
'A02';0;0;2/11/2011;60,00;0,00;1,09;55,00;'AD1';416,16;'CAR'
'B04';0;0;2/11/2011;39,00;0,00;1,69;23,00;'AD1';267,74;'CAR'
'B08';0;0;2/11/2011;50,00;0,00;1,92;26,00;'AD1';236,08;'CAR'
'B25';0;0;2/11/2011;63,00;0,00;1,05;60,00;'AD1';432,38;'CAR'
'B04';23;1;3/11/2011;960,00;0,00;120,00;8,00;'B06';0,00;
'B04';23;1;3/11/2011;650,00;0,00;130,00;5,00;'B06';0,00;
'B46';10;1;3/11/2011;4544,00;0,00;142,00;32,00;'B34';0,00;
'B05';0;0;3/11/2011;40,00;0,00;0,88;45,00;'B06';510,75;'CAR'
'B33';0;0;3/11/2011;22,00;0,00;1,10;20,00;'B34';412,72;'CAR'
'B54';0;0;3/11/2011;27,00;0,00;3,00;9,00;'B44';151,33;'CAR'
'B54';12;2;3/11/2011;472,00;0,00;4,00;118,00;'B44';113,50;
'B54';12;1;3/11/2011;27,00;0,00;3,00;9,00;'B44';151,33;
'A03';0;0;;;0,00;;0,00;;0,00;'CAR'
'B13';21;2;7/11/2011;476,00;0,00;28,00;17,00;'B22';0,00;
'B23';0;0;7/11/2011;18,00;0,00;0,60;30,00;'B22';756,66;'CAR'
'B45';0;0;7/11/2011;16,00;0,00;0,53;30,00;'B45';851,25;'CAR'
'B45';10;1;7/11/2011;16,00;0,00;0,53;30,00;'B42';851,25;
'B13';21;2;8/11/2011;360,00;0,00;36,00;10,00;'B22';0,00;
'B54';0;0;9/11/2011;11,00;0,00;1,83;6,00;'B57';247,63;'CAR'
'B54';12;2;9/11/2011;55,00;0,00;1,57;35,00;'B57';288,90;
'B54';12;1;9/11/2011;55,00;0,00;1,57;35,00;'B57';288,90;
'B53';8;1;9/11/2011;474,00;0,00;1,88;252,00;'B52';241,36;
'B53';8;2;10/11/2011;6,00;0,00;3,00;2,00;'B52';151,33;
'B53';8;1;10/11/2011;56,00;0,00;1,47;38,00;'B52';308,07;
'B54';12;1;10/11/2011;6,00;0,00;2,00;3,00;'B57';227,00;
'B53';0;0;10/11/2011;6,00;0,00;3,00;2,00;'B52';151,33;'CAR'
'B54';0;0;10/11/2011;6,00;0,00;2,00;3,00;'B57';227,00;'CAR'
'B04';23;1;11/11/2011;4305,00;0,00;105,00;41,00;'B06';0,00;
'B08';28;1;11/11/2011;2484,00;0,00;108,00;23,00;'B06';0,00;
'B46';10;1;11/11/2011;3250,00;0,00;130,00;25,00;'B34';0,00;
'B33';16;2;11/11/2011;183,00;0,00;5,08;36,00;'B36';89,31;
'B33';16;1;11/11/2011;13,00;0,00;1,08;12,00;'B36';419,07;
'B33';0;0;11/11/2011;13,00;0,00;1,08;12,00;'B36';419,07;'CAR'
'B24';0;0;14/11/2011;23,00;0,00;0,38;60,00;'B23';1184,34;'CAR'
'B22';0;0;14/11/2011;24,00;0,00;1,60;15,00;'B23';283,75;'CAR'
'B22';15;1;14/11/2011;24,00;0,00;1,60;15,00;'B23';283,75;
'B12';22;2;15/11/2011;280,00;0,00;28,00;10,00;'B23';0,00;
'B11';23;2;15/11/2011;336,00;0,00;28,00;12,00;'B23';0,00;
'B24';16;1;15/11/2011;276,00;0,00;12,00;23,00;'B23';0,00;
'B33';16;1;16/11/2011;5,00;0,00;1,00;5,00;'B36';454,00;
'B33';16;1;16/11/2011;40,00;0,00;20,00;2,00;'B36';22,70;
'B33';16;2;16/11/2011;22,00;0,00;4,40;5,00;'B36';103,18;
'B46';10;1;16/11/2011;1484,00;0,00;106,00;14,00;'B34';0,00;
'B22';15;1;16/11/2011;60,00;0,00;2,00;30,00;'B28';227,00;
'B22';15;2;16/11/2011;1260,00;0,00;2,10;600,00;'B28';216,19;
'B33';0;0;16/11/2011;40,00;0,00;20,00;2,00;'B36';22,70;'CAR'
'B33';0;0;16/11/2011;5,00;0,00;1,00;5,00;'B36';454,00;'CAR'
'B22';0;0;16/11/2011;60,00;0,00;2,00;30,00;'B28';227,00;'CAR'
'B03';42;1;17/11/2011;2000,00;0,00;227,00;8,81;'idiaf';2,00;
'B46';10;1;18/11/2011;3157,00;0,00;77,00;41,00;'B34';0,00;
'B46';10;1;18/11/2011;1410,00;0,00;94,00;15,00;'B34';0,00;
'B08';28;1;18/11/2011;3060,00;0,00;90,00;34,00;'B06';0,00;
'B22';15;2;18/11/2011;517,00;0,00;2,20;235,00;'B28';206,36;
