'bassin';'cycle';'lot';'datesemis';'quantit�';'quantit�ml';'quantit�lb';'poids';'commentaire';'grpoisson';'esp�ce'
'B31';0;0;22/1/2008;132,00;0,00;1,91;68,87;'B12';236,87;'CAR'
'B15';0;0;22/1/2008;5,00;0,00;0,25;20,00;'B35';1816,00;'CAR'
'B39';0;0;23/1/2008;4,00;0,00;0,33;12,00;'B35';1362,00;'CAR'
'B08';23;1;24/1/2008;426,00;0,00;142,00;3,00;'B02';0,00;
'B31';0;0;24/1/2008;239,89;0,00;59,97;4,00;'laguna';7,57;'CAR'
'B31';0;0;24/1/2008;39,00;0,00;2,60;15,00;'laguna';174,61;'CAR'
'B20';12;1;28/11/2007;255,00;0,00;1,44;176,00;'laguna';313,34;
'B20';12;1;30/11/2007;185,00;0,00;0,85;216,00;'laguna';530,07;
'B20';12;1;1/12/2007;100,00;0,00;0,89;112,00;'laguna';508,48;
'B03';0;0;24/1/2008;75,00;0,00;0,50;150,00;'B20';908,00;'CAR'
'B19';12;1;24/1/2008;60,00;0,00;1,57;38,00;'laguna';287,53;
'B19';12;1;1/12/2007;472,00;0,00;0,90;519,20;'laguna';499,40;
'B03';0;0;24/1/2008;78,00;0,00;0,71;109,20;'B19';635,60;'CAR'
'B08';23;1;25/1/2008;3129,00;0,00;149,00;21,00;'B02';0,00;
'B31';0;0;25/1/2008;1276,01;0,00;58,00;22,00;'laguna';7,82;'CAR'
'B31';0;0;25/1/2008;52,00;0,00;3,05;17,00;'Laguna';148,42;'CAR'
'B08';0;0;25/1/2008;61,00;0,00;2,65;23,00;'Laguna';171,18;'CAR'
'A02';9;1;25/1/2008;1634,00;0,00;38,00;43,00;'B16';0,00;
'B15';0;0;25/1/2008;35,00;0,00;0,43;80,00;'B16';1037,71;'CAR'
'B08';23;1;28/1/2008;1440,00;0,00;40,00;36,00;'B16';0,00;
'A02';9;1;29/1/2008;546,00;0,00;39,00;14,00;'B16';0,00;
'B31';0;0;29/1/2008;324,28;0,00;1,42;227,00;'B12';317,80;'CAR'
'A02';9;1;29/1/2008;1880,00;0,00;47,00;40,00;'B12';0,00;
'A02';9;1;29/1/2008;840,00;0,00;40,00;21,00;'B01';0,00;
'A02';9;1;30/1/2008;1020,00;0,00;30,00;34,00;'B01';0,00;
'B08';23;1;6/2/2008;7400,00;0,00;148,00;50,00;'B03';0,00;
'B06';16;1;6/2/2008;11988,00;0,00;148,00;81,00;'B03';0,00;
'B29';14;2;13/11/2007;14350,00;0,00;2870,00;5,00;'Hapas del B13';0,00;
'B19';0;0;31/1/2008;6,00;0,00;0,40;15,00;'B17';1135,00;'CAR'
'B15';0;0;31/1/2008;5,00;0,00;0,29;17,00;'B13';1543,60;'CAR'
'A02';9;1;31/1/2008;4323,00;0,00;33,00;131,00;'B17';0,00;
'A02';9;1;4/2/2008;2280,00;0,00;38,00;60,00;'B12';0,00;
'B19';0;0;4/2/2008;216,00;0,00;1,25;172,80;'B12';363,20;'CAR'
'B34';0;0;4/2/2008;3,00;0,00;0,25;12,00;'B40';1816,00;'CAR'
'B34';0;0;4/2/2008;5,00;0,00;0,25;20,00;'B41';1816,00;'CAR'
'B29';0;0;4/2/2008;1,00;0,00;0,50;2,00;'B28';908,00;'CAR'
'B29';0;0;5/2/2008;1,00;0,00;0,66;1,50;'B28';681,00;'CAR'
'A02';9;1;5/2/2008;912,00;0,00;38,00;24,00;'A02';0,00;
'B46';0;0;5/2/2008;47,00;0,00;0,90;51,70;'B12';499,40;'CAR'
'B13';0;0;7/2/2008;10,50;0,00;0,87;12,00;'B12';518,85;'CAR'
'B04';0;0;12/2/2008;50,00;0,00;0,92;54,16;'B03';491,77;'CAR'
'B07';14;1;12/2/2008;1470,00;0,00;147,00;10,00;'B03';0,00;
'B40';0;0;13/2/2008;70,00;0,00;1,56;44,72;'B31';290,05;'CAR'
'B41';0;0;13/2/2008;70,00;0,00;1,56;44,72;'B31';290,05;'CAR'
'B44';0;0;13/2/2008;70,00;0,00;1,56;44,72;'B31';290,05;'CAR'
'B54';0;0;13/2/2008;70,00;0,00;1,56;44,72;'B31';290,05;'CAR'
'B42';0;0;13/2/2008;30,00;0,00;1,56;19,16;'B31';290,05;'CAR'
'B46';0;0;13/2/2008;15,00;0,00;1,56;9,58;'B31';290,05;'CAR'
'B07';0;0;13/2/2008;40,00;0,00;1,56;25,55;'B31';290,05;'CAR'
'B20';0;0;14/2/2008;6,00;0,00;0,50;12,00;'B03';908,00;'CAR'
'B07';14;1;8/2/2008;7104,00;0,00;148,00;48,00;'B03';0,00;
'B07';14;1;14/2/2008;1029,00;0,00;147,00;7,00;'B03';0,00;
'B07';14;1;15/2/2008;1323,00;0,00;147,00;9,00;'B03';0,00;
'B20';0;0;15/2/2008;9,00;0,00;0,50;18,00;'B03';908,00;'CAR'
'B34';0;0;15/2/2008;875,09;0,00;35,00;25,00;'B31';12,97;'CAR'
'B07';0;0;15/2/2008;20,00;0,00;2,50;8,00;'B31';181,60;'CAR'
'AD1';11;1;18/2/2008;918,00;0,00;51,00;18,00;'B14';0,00;
'B37';8;1;18/2/2008;117,00;0,00;39,00;3,00;'B38';0,00;
'B29';0;0;19/2/2008;256,00;0,00;3,07;83,20;'B31';147,55;'CAR'
'B37';0;0;19/2/2008;25,00;0,00;0,76;32,50;'B38';590,20;'CAR'
'B37';0;0;18/2/2008;9,00;0,00;0,60;15,00;'B38';756,66;'CAR'
'B34';10;1;20/2/2008;2580,00;0,00;43,00;60,00;'B38';0,00;
'B37';0;0;20/2/2008;12,00;0,00;0,75;16,00;'B38';605,33;'CAR'
'B19';12;1;31/1/2008;6,00;0,00;0,40;15,00;;1135,00;
'B19';12;1;4/2/2008;216,00;0,00;1,25;172,80;;363,20;
'B20';12;1;14/2/2008;6,00;0,00;0,50;12,00;;908,00;
'B20';12;1;15/2/2008;9,00;0,00;0,50;18,00;;908,00;
'AD1';11;1;25/2/2008;1620,00;0,00;54,00;30,00;'B14';0,00;
'B26';0;0;26/2/2008;1224,26;0,00;34,00;36,00;'B31';13,35;'CAR'
'B26';0;0;26/2/2008;101,00;0,00;1,72;58,70;'B31';263,85;'CAR'
'B26';19;1;26/2/2008;1224,26;0,00;34,00;36,00;'B31';13,35;
'B26';19;1;26/2/2008;101,00;0,00;1,72;58,70;'B31';263,85;
'AD1';0;0;26/2/2008;442,09;0,00;34,00;13,00;'B31';13,35;'CAR'
'AD1';0;0;26/2/2008;52,00;0,00;2,13;24,31;'B31';212,24;'CAR'
'AD1';0;0;29/2/2008;417,90;0,00;37,99;11,00;'B31';11,95;'CAR'
'AD1';0;0;29/2/2008;32,00;0,00;1,33;24,00;'AD1';340,50;'CAR'
'B34';10;2;4/2/2008;3,00;0,00;0,25;12,00;;1816,00;
'B34';10;2;4/2/2008;5,00;0,00;0,25;20,00;;1816,00;
'B34';10;2;15/2/2008;875,00;0,00;35,00;25,00;;12,97;
'AD1';0;0;4/3/2008;22,00;0,00;16,00;1,37;'B19';28,37;'CAR'
'AD1';0;0;4/3/2008;41,00;0,00;16,00;2,56;'B20';28,37;'CAR'
'B06';16;2;29/2/2008;160000,00;100,00;45400,00;3,52;'taiwan 50% mort';0,00;
'A02';9;2;29/2/2008;160000,00;100,00;45400,00;3,52;'taiwan 50% mort';0,00;
'A01';0;0;6/3/2008;7,00;0,00;0,31;22,00;'B30';1426,85;'CAR'
'A01';0;0;6/3/2008;10,00;0,00;0,34;29,00;'B30';1316,60;'CAR'
'B25';0;0;10/3/2008;14,00;0,00;0,66;21,00;'B13';681,00;'CAR'
'B08';23;1;10/3/2008;666,00;0,00;37,00;18,00;'B24';0,00;
'B06';16;1;10/3/2008;962,00;0,00;37,00;26,00;'B24';0,00;
'B25';0;0;10/3/2008;2,00;0,00;0,44;4,50;'B24';1021,50;'CAR'
'B25';0;0;13/3/2008;5,00;0,00;0,40;12,50;'B24';1135,00;'CAR'
'B08';23;1;13/3/2008;720,00;0,00;36,00;20,00;'B25';0,00;
'B06';16;1;13/3/2008;1116,00;0,00;36,00;31,00;'B24';0,00;
'B37';8;1;13/3/2008;1776,00;0,00;37,00;48,00;'B42';0,00;
'B34';0;0;13/3/2008;5,00;0,00;0,55;9,00;'B42';817,20;'CAR'
'A01';0;0;13/3/2008;11,00;0,00;0,40;27,50;'B37';1135,00;'CAR'
'A01';0;0;13/3/2008;14,00;0,00;0,33;42,00;'B42';1362,00;'CAR'
'B37';0;0;17/3/2008;12,00;0,00;1,00;12,00;'B42';454,00;'CAR'
'B44';8;1;19/3/2008;2030,00;0,00;35,00;58,00;'B41';0,00;
'B37';0;0;19/3/2008;13,00;0,00;1,00;13,00;'B44';454,00;'CAR'
'B37';0;0;17/3/2008;6,00;0,00;1,00;6,00;'B44';454,00;'CAR'
'B37';8;1;17/3/2008;3922,00;0,00;37,00;106,00;'B41';0,00;
'AD1';0;0;18/3/2008;612,00;0,00;51,00;12,00;'B20';8,90;'CAR'
'AD1';0;0;18/3/2008;1056,00;0,00;48,00;22,00;'B20';9,45;'CAR'
'AD1';0;0;18/3/2008;1000,00;0,00;50,00;20,00;'B20';9,08;'CAR'
'B19';12;1;18/3/2008;198,00;0,00;1,02;193,87;'B20';444,54;
'B19';0;0;18/3/2008;198,00;0,00;1,02;193,87;'B20';444,54;'CAR'
