,Bassin,Cycle,Lots
1379,B46,17,1
1380,B37,20,1
1381,B20,23,1
1382,B01,47,1
1383,B54,18,1
1384,B33,23,1
1385,B02,49,1
1386,B07,28,1
1387,B27,20,1
1388,B54,18,2
1389,B09,4,0
1390,B45,17,1
1391,B38,21,1
1392,MF,4,1
1393,B39,20,1
1394,B25,25,1
1395,B03,55,1
1396,B53,15,1
1397,B22,22,1
1398,B26,32,1
1399,B34,27,1
1400,B52,16,1
1401,B32,23,1
1402,B02,50,1
1403,B57,13,3
1404,B35,33,1
1405,B04,31,1
1406,B04,31,2
1407,B44,20,1
1408,B08,35,1
1409,B41,21,1
1410,B30,24,1
1411,B10,28,1
1412,B03,56,1
1413,B49,6,1
1414,B23,20,1
1415,AD1,23,1
1416,B29,25,1
1417,B42,21,1
1418,B33,23,2
1419,B23,21,1
1420,B21,23,1
1421,B40,19,1
1422,B58,15,1
1423,B09,5,1
1424,B47,10,1
1425,B24,24,1
1426,B51,26,1
1427,B11,30,1
1428,B05,30,1
1429,B01,48,1
1430,B19,24,1
1431,B01,48,2
1432,LAG,6,1
1433,B02,51,1
1434,B54,19,1
1435,B46,18,1
1436,B31,32,1
1437,A03,22,1
1438,B20,24,1
1439,B28,21,1
1440,B43,18,1
1441,J01,1,1
1442,B03,57,1
1443,B04,32,1
1444,A02,22,1
1445,A02,22,2
1446,B02,52,1
1447,B36,31,1
1448,B36,31,2
1449,B37,21,1
1450,NU,1,1
1451,B57,14,1
1452,B57,14,2
1453,B01,49,1
1454,B01,49,2
1455,B48,5,1
1456,B48,5,2
1457,NU,2,1
1458,B07,29,1
1459,B26,33,1
1460,B34,28,1
1461,B39,21,1
1462,B27,21,1
1463,B03,58,1
1464,B36,32,1
1465,B35,34,1
1466,NU,3,1
1467,B45,18,1
1468,B02,53,1
1469,MF,5,1
1470,B44,21,1
1471,B25,26,1
1472,B38,22,1
1473,A02,23,1
1474,B22,23,1
1475,B53,16,1
1476,NU,4,1
1477,B08,36,1
1478,AD1,24,1
1479,B52,17,1
1480,AD1,24,2
1481,B30,25,1
1482,B10,29,1
1483,B41,22,1
1484,B11,32,1
