'date';'u5';'u6';'u8';'u10';'u12';'u15';'u16/20';'u21/25';'peladas'
16/4/2007;0,00;5,00;10,00;15,00;74,00;0,00;118,00;0,00;4,00
17/4/2007;0,00;5,00;15,00;20,00;44,00;0,00;93,50;0,00;1,50
19/4/2007;0,00;0,00;5,00;7,50;45,00;0,00;155,00;0,00;0,70
25/4/2007;0,00;5,00;9,00;5,00;20,00;0,00;91,00;0,00;2,00
24/4/2007;0,00;0,00;10,00;15,00;35,00;0,00;107,00;0,00;12,00
23/4/2007;0,00;5,00;5,00;11,00;35,00;0,00;111,50;0,00;3,00
1/5/2007;0,00;0,00;10,00;25,00;57,00;0,00;265,00;0,00;25,00
2/5/2007;0,00;0,00;10,00;24,00;55,00;0,00;159,00;0,00;5,00
7/5/2007;0,00;10,00;10,00;23,00;50,00;0,00;175,00;0,00;6,00
10/5/2007;0,00;25,00;10,00;5,00;30,00;0,00;62,50;0,00;4,00
14/5/2007;0,00;0,00;5,00;5,00;25,00;0,00;55,00;0,00;2,00
15/5/2007;0,00;10,00;5,00;19,50;60,00;0,00;225,00;0,00;4,00
17/5/2007;0,00;4,50;9,50;0,00;0,00;0,00;294,00;0,00;18,00
18/5/2007;0,00;0,00;6,00;0,00;0,00;0,00;110,00;0,00;17,00
4/6/2007;0,00;5,00;5,00;19,50;65,00;0,00;266,50;0,00;10,00
5/6/2007;0,00;2,00;10,00;28,50;65,00;0,00;196,50;0,00;2,00
6/6/2007;0,00;0,00;0,00;0,00;32,00;0,00;205,00;0,00;0,00
11/6/2007;0,00;0,00;0,00;35,00;55,00;0,00;176,00;0,00;14,00
12/6/2007;0,00;0,00;3,00;15,00;20,00;0,00;35,00;0,00;1,00
14/6/2007;0,00;10,00;20,00;55,00;60,00;0,00;150,00;0,00;3,00
18/6/2007;0,00;10,00;20,00;30,00;30,00;0,00;204,50;0,00;33,00
19/6/2007;0,00;15,00;16,50;15,00;45,00;0,00;182,50;0,00;0,00
20/6/2007;0,00;0,00;5,00;10,00;50,00;0,00;234,50;0,00;20,50
21/6/2007;0,00;7,50;20,00;34,00;42,50;0,00;124,50;0,00;1,50
