'bassin';'cycle';'lot';'datep�che';'poids';'quantit�lb';'quantit�';'commentaire';'quantit�lbstat';'grpoisson';'esp�ce';'destination'
'B26';0;0;10/8/2011;90,00;0,40;36,00;'1v cn 90lbs 110/v 317.8gr';;1135,00;'CAR';'V'
'B10';20;3;15/8/2011;148,00;18,00;2664,00;'seco';;0,00;;'V'
'B10';0;0;15/8/2011;4,00;1,25;5,00;'B08';;363,20;'CAR';'S'
'B13';20;1;15/8/2011;19,00;18,00;342,00;'20/v';;0,00;;'V'
'B11';22;1;15/8/2011;26,00;18,00;468,00;'1v cn 26lbs';;0,00;;'V'
'B14';19;3;15/8/2011;36,00;18,00;648,00;'1v cn 36lbs 37/v';;0,00;;'V'
'B13';0;0;15/8/2011;4,00;1,00;4,00;;;454,00;'CAR';'V'
'B14';0;0;15/8/2011;64,00;0,59;38,00;;;764,63;'CAR';'V'
'B13';20;1;16/8/2011;120,00;18,00;2160,00;'seco';;0,00;;'V'
'B13';20;1;16/8/2011;2,00;60,00;120,00;'B23';;0,00;;'S'
'B41';13;1;16/8/2011;52,00;18,00;936,00;'1v cn 52lbs 52/v';;0,00;;'V'
'B40';12;1;16/8/2011;52,00;18,00;936,00;'1v cn 52lbs 54/v';;0,00;;'V'
'B40';12;1;16/8/2011;2,00;30,00;60,00;'B42';;0,00;;'S'
'B40';0;0;16/8/2011;4,00;1,50;6,00;'B38';;302,66;'CAR';'S'
'B41';0;0;16/8/2011;7,00;0,57;4,00;;;794,50;'CAR';'V'
'B42';0;0;16/8/2011;150,00;0,30;45,00;'2v cn 160/v 363.2 gr';;1513,33;'CAR';'V'
'B40';12;1;17/8/2011;146,00;18,00;2628,00;'seco';;0,00;;'V'
'B41';13;1;17/8/2011;127,00;18,00;2286,00;'seco';;0,00;;'V'
'B01';37;1;23/9/2011;41,00;286,00;11726,00;'2v cc B13';;0,00;;'S'
'B03';41;2;12/10/2011;137,00;140,00;19180,00;'1.5v cc B12';;0,00;;'S'
'B05';22;2;26/10/2011;5,00;16,00;80,00;'0.25v cn tilapias';;0,00;;'V'
'B06';20;2;23/9/2011;10,00;18,00;180,00;'B04';;0,00;;'S'
'B23';0;0;17/8/2011;165,00;0,26;44,00;'1v cn 165lbs 180/v';;1702,50;'CAR';'V'
'B36';23;1;23/9/2011;273,00;11,00;3003,00;'B21';;41,27;;'A'
'B35';22;2;18/8/2011;360,00;1,50;540,00;'cc';;302,66;;'V'
'B35';22;1;18/8/2011;23,00;18,00;414,00;;;0,00;;'A'
'B35';0;0;18/8/2011;35,00;0,54;19,00;;;836,31;'CAR';'V'
'B35';0;0;18/8/2011;60,00;1,41;85,00;'B36';;320,47;'CAR';'S'
'B35';0;0;18/8/2011;64,00;2,64;169,00;'B39';;171,92;'CAR';'S'
'B36';0;0;;;;0,00;;;0,00;'CAR';
'B43';10;1;18/8/2011;480,00;0,88;423,00;'1v cn 480lbs 1400/v';;515,17;;'A'
'B43';0;0;18/8/2011;480,00;0,88;423,00;'1v cn 480lbs 1400/v 385.9gr 374.5gr';;515,17;'CAR';'V'
'B47';7;1;18/8/2011;203,00;0,35;73,00;'1v cn 203lbs 203/v';;1262,49;;'A'
'B47';7;2;18/8/2011;15,00;0,60;9,00;'1v cn 15lbs 100/v';;756,66;;'A'
'B47';0;0;18/8/2011;15,00;0,60;9,00;'100/v';;756,66;'CAR';'V'
'B15';36;2;19/8/2011;43,00;4,46;192,00;'B19';;101,67;;'A'
'B15';36;3;19/8/2011;14,00;20,00;280,00;'B06';;0,00;;'A'
'B36';23;2;28/10/2011;89,00;0,91;81,00;'1v cn B31';;498,83;;'A'
'B19';0;0;;;;0,00;;;0,00;'CAR';
'B54';0;0;19/8/2011;70,00;3,30;231,00;'B44';;137,57;'CAR';'S'
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B54';11;1;19/8/2011;70,00;3,30;231,00;'B44';;137,57;;'A'
'A02';0;0;;;;0,00;;;0,00;'CAR';
'A02';0;0;;;;0,00;;;0,00;'CAR';
'B36';0;0;;;;0,00;;;0,00;'CAR';
'B54';11;2;20/8/2011;20,00;15,00;300,00;'B46';;0,00;;'A'
'B54';0;0;20/8/2011;61,00;3,39;207,00;'B44';;133,78;'CAR';'S'
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B04';22;1;22/8/2011;109,00;18,00;1962,00;'2x0.5v cn 150/200 lb/v';;0,00;;'V'
'B04';0;0;22/8/2011;50,00;0,56;28,00;'2v cn 397.25gr';;810,71;'CAR';'V'
'B27';0;0;22/8/2011;273,00;0,21;59,00;'2v cn 300/150lb/v';;2100,71;'CAR';'V'
'B25';0;0;23/8/2011;150,00;0,44;66,00;'?';;1031,81;'CAR';'V'
'B47';0;0;23/8/2011;15,00;0,80;12,00;'?';;567,50;'CAR';'V'
'B47';7;1;23/8/2011;12,00;0,33;4,00;'?';;1362,00;;'A'
'B25';0;0;24/8/2011;150,00;0,70;105,00;'?';;648,57;'CAR';'V'
'B17';0;0;;;;0,00;;;0,00;'CAR';
'B17';0;0;;;;0,00;;;0,00;'CAR';
'B19';0;0;;;999999,00;0,00;;;0,00;'CAR';
'B25';0;0;24/8/2011;334,00;1,49;500,00;'al B19';;303,27;'CAR';'S'
'B25';0;0;24/8/2011;287,00;1,49;430,00;'al A02';;303,01;'CAR';'S'
'A02';0;0;;;;0,00;;;0,00;'CAR';
'B25';0;0;24/8/2011;18,00;1,66;30,00;'al B26';;272,40;'CAR';'S'
'B25';0;0;24/8/2011;25,00;1,60;40,00;'al B24';;283,75;'CAR';'S'
'B25';0;0;24/8/2011;24,00;1,66;40,00;'al B23';;272,40;'CAR';'S'
'B25';0;0;24/8/2011;24,00;1,66;40,00;'al B22';;272,40;'CAR';'S'
'A01';0;0;24/8/2011;45,00;15,00;675,00;'B17';;30,26;'CAR';'S'
'A01';0;0;24/8/2011;70,00;0,32;23,00;;;1381,73;'CAR';'V'
'B17';0;0;;;;0,00;;;0,00;'CAR';
'B47';0;0;24/8/2011;198,00;1,58;313,00;'B58 + 160X35lb al B44 (99.31g)';;287,19;'CAR';'S'
'B47';0;0;24/8/2011;45,00;0,82;37,00;'?';;552,16;'CAR';'V'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B53';0;0;24/8/2011;30,00;1,73;52,00;'B58 + 50X5lb al B44 (45.4g)';;261,92;'CAR';'S'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B17';0;0;;;;0,00;;;0,00;'CAR';
'B19';0;0;;;;0,00;;;0,00;'CAR';
'A02';0;0;;;;0,00;;;0,00;'CAR';
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B16';28;2;5/4/2012;71,00;0,04;3,00;'1v cn cadeau employ�s 95lb til';;10744,66;;'A'
'B16';28;1;5/4/2012;80,00;0,52;42,00;'1v cn venta';;864,76;;'A'
'B58';9;1;27/9/2011;220,00;0,85;187,00;'1v cn 500lb/v';;534,11;;'A'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B17';28;1;12/10/2011;56,00;1,16;65,00;'1v cc B06';;391,13;;'A'
'B17';28;2;29/12/2011;84,00;3,57;300,00;'0.5v cn B06';;127,12;;'A'
'A01';20;2;24/8/2011;70,00;0,32;23,00;'?';;1381,73;;'A'
'B47';7;2;24/8/2011;198,00;1,58;313,00;'B58 + 160X35lb al B44 (99.31g)';;287,19;;'A'
'B47';7;2;24/8/2011;45,00;0,82;37,00;'?';;552,16;;'A'
'B53';7;2;24/8/2011;30,00;1,73;52,00;'B58 + 50X5lb al B44 (45.4g)';;261,92;;'A'
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B25';15;1;24/8/2011;65,00;1,53;100,00;'B17 + 715 X 55 lb alevines';;295,10;;'A'
'B25';15;1;24/8/2011;150,00;0,70;105,00;'?';;648,57;;'A'
'B25';15;1;24/8/2011;334,00;1,49;500,00;'B19';;303,27;;'A'
'B54';11;1;20/8/2011;61,00;3,39;207,00;'Seco B44';;133,78;;'A'
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B44';12;2;27/10/2011;13,00;0,69;9,00;'0.75v cn B45';;655,77;;'A'
'B25';0;0;24/8/2011;65,00;1,53;100,00;'B17 + 715 X 55lb';;295,10;'CAR';'S'
'B25';15;1;24/8/2011;287,00;1,49;430,00;'A02';;303,01;;'A'
'B25';15;1;24/8/2011;18,00;1,66;30,00;'B26';;272,40;;'A'
'B25';15;1;24/8/2011;25,00;1,60;40,00;'B24';;283,75;;'A'
'B25';15;1;24/8/2011;24,00;1,66;40,00;'B23';;272,40;;'A'
'B25';15;1;24/8/2011;24,00;1,66;40,00;'B22';;272,40;;'A'
'A02';0;0;;;;0,00;;;0,00;'CAR';
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B47';7;2;23/8/2011;15,00;0,80;12,00;;;567,50;;'A'
'B19';0;0;;;;0,00;;;0,00;'CAR';
'B29';0;0;25/8/2011;115,00;0,74;86,00;'1v cn 600lb/v muestra: 20X11lb (607g)';;607,09;'CAR';'V'
'B45';0;0;25/8/2011;228,00;0,72;166,00;'1v cn 1000lb/v 408.6g';;623,56;'CAR';'V'
'B29';18;2;25/8/2011;37,00;0,43;933,22;'1v cn 45lb/v';;18,00;;'A'
'B52';10;1;25/8/2011;175,00;0,67;118,00;'1v cn 800lb/v';;673,30;;'V'
'B45';10;1;25/8/2011;228,00;0,72;166,00;'1v cn 1000lb/v';;623,56;;'A'
'B37';12;1;26/8/2011;152,00;18,00;2736,00;'1v cn 450lb/v';;0,00;;'V'
'B22';14;1;26/8/2011;140,00;18,33;2566,20;'1v cn 400lb/v lila';;0,00;;'V'
'B24';16;1;26/8/2011;145,00;18,66;2705,70;'1v cn 350lb/v';;0,00;;'V'
'B21';13;3;26/8/2011;242,00;18,00;4356,00;'Seco';;0,00;;'V'
'B11';22;1;26/8/2011;112,00;18,00;2016,00;'Seco + 60lb tilapia';;0,00;;'V'
'B53';7;1;24/8/2011;90,00;0,97;88,00;;;464,31;;'V'
'B25';15;2;31/8/2011;20,00;23,00;460,00;'B24';;19,73;;'A'
'AD2';15;1;7/12/2011;60,00;1,15;69,00;'0.5v cn 200lb/v';;394,78;;'V'
'A01';20;2;29/8/2011;24,00;17,00;408,00;'B17';;26,70;;'A'
'B14';19;3;29/8/2011;185,00;18,00;3330,00;'Seco';;0,00;;'V'
'AD2';15;2;7/12/2011;26,00;0,69;18,00;'0.5v cn 70lb/v';;655,77;;'A'
'B07';0;0;29/8/2011;26,00;3,84;100,00;'AD2';;118,04;'CAR';'S'
'AD2';0;0;;;;0,00;;;0,00;'CAR';
'A01';0;0;29/8/2011;24,00;17,00;408,00;'B17';;26,70;'CAR';'S'
'B17';0;0;;;;0,00;;;0,00;'CAR';
'B43';10;1;30/8/2011;300,00;0,83;250,00;'60lb tilapia + 288/24lb alevines al B44';;544,80;;'A'
'B43';10;1;30/8/2011;260,00;1,21;315,00;'B58';;374,73;;'A'
'B43';10;2;30/8/2011;3,00;0,33;75,66;;;18,00;;'A'
'B56';13;1;30/8/2011;95,00;0,94;90,00;'1v cn 250lb/v';;479,22;;'A'
'B57';5;1;30/8/2011;115,00;0,75;87,00;'1v cn 200lb/v';;600,11;;'A'
'A02';0;0;30/8/2011;115,00;0,91;105,00;'1v cn 800lb/v';;497,23;'CAR';'V'
'B43';0;0;30/8/2011;300,00;0,85;255,00;'? + 288/24lb al B44';;534,11;'CAR';'V'
'B43';0;0;30/8/2011;260,00;1,21;315,00;'B58';;374,73;'CAR';'S'
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B56';0;0;30/8/2011;95,00;0,94;90,00;'1v cn 250lb/v';;479,22;'CAR';'V'
'B57';0;0;30/8/2011;115,00;0,75;87,00;'1v cn 200lb/v';;600,11;'CAR';'V'
'B25';15;1;31/8/2011;161,00;1,60;259,00;'B19';;282,21;;'A'
'B43';10;1;31/8/2011;55,00;0,96;53,00;'? + 65/13lb al B44';;471,13;;'A'
'B43';10;1;31/8/2011;81,00;1,23;100,00;'B58';;367,74;;'A'
'B53';7;2;31/8/2011;5,00;1,00;5,00;'Seco + 84/6lb al B44';;454,00;;'A'
'B53';7;2;31/8/2011;60,00;1,66;100,00;'B58';;272,40;;'A'
'B53';7;1;31/8/2011;245,00;4,08163265306122e-03;266,16;'Seco';;417,90;;'V'
'B25';0;0;31/8/2011;161,00;1,60;259,00;'B19';;282,21;'CAR';'S'
'B19';0;0;;;;0,00;;;0,00;'CAR';
'B43';0;0;31/8/2011;55,00;0,96;53,00;'? + 65/5lb al B44';;471,13;'CAR';'V'
'B43';0;0;31/8/2011;81,00;1,23;100,00;'B58';;367,74;'CAR';'S'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B53';0;0;31/8/2011;5,00;1,00;5,00;'Seco + 84/6lb al B44';;454,00;'CAR';'V'
'B53';0;0;31/8/2011;60,00;1,66;100,00;'B58';;272,40;'CAR';'S'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B22';0;0;26/8/2011;2,50;0,40;1,00;'Corinne';;1135,00;'CAR';'A'
'B37';0;0;26/8/2011;5,00;0,40;2,00;'Fran/Angel';;1135,00;'CAR';'A'
'B43';10;1;1/9/2011;25,00;0,80;20,00;'Seco + 361/46lb al B44';;567,50;;'A'
'B43';10;1;1/9/2011;83,00;1,55;129,00;'B58';;292,10;;'A'
'B43';10;2;31/8/2011;18,00;0,05;454,00;;;18,00;;'A'
'AD1';15;1;1/9/2011;130,00;0,55;72,00;'1v cn 900lb/v';;819,72;;'A'
'B43';0;0;1/9/2011;25,00;0,80;20,00;'Seco + 361/46lb al B44';;567,50;'CAR';'V'
'B43';0;0;1/9/2011;83,00;1,55;129,00;'B58';;292,10;'CAR';'S'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B44';0;0;;;;0,00;;;0,00;'CAR';
'B51';0;0;1/9/2011;330,00;0,76;253,00;'1v cn 800lb/v';;592,17;'CAR';'V'
'B44';0;0;;;;0,00;;;0,00;'CAR';
'AD1';0;0;1/9/2011;130,00;0,55;72,00;'1v cn 900lb/v';;819,72;'CAR';'V'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B19';0;0;;;;0,00;;;0,00;'CAR';
'B19';0;0;;;;0,00;;;0,00;'CAR';
'B19';0;0;;;;0,00;;;0,00;'CAR';
'A01';20;2;2/9/2011;53,00;15,00;795,00;'B17';;30,26;;'A'
'A01';0;0;2/9/2011;53,00;15,00;795,00;'B17';;30,26;'CAR';'S'
'B17';0;0;;;;0,00;;;0,00;'CAR';
'B08';27;1;2/9/2011;61,00;18,00;1098,00;'1v cn';;0,00;;'V'
'B08';0;0;2/9/2011;11,00;0,45;5,00;'1v cn';;998,80;'CAR';'A'
'B08';0;0;2/9/2011;80,00;0,48;39,00;'AD1';;931,28;'CAR';'S'
'B12';21;3;2/9/2011;55,00;18,00;990,00;'1v cn';;0,00;;'V'
'B12';21;3;2/9/2011;20,00;22,00;440,00;'B22';;0,00;;'S'
'B02';40;2;18/10/2011;5,00;18,00;90,00;'2v cc';;0,00;;'V'
'B04';22;2;12/9/2011;18,00;15,00;270,00;'1v cn 150lb/v';;0,00;;'V'
'B37';12;2;;;;0,00;;;0,00;;
'B19';16;1;28/9/2011;4,00;0,25;100,88;;;18,00;;'A'
'B30';16;1;21/9/2011;44,00;0,02;1109,77;;;18,00;;'A'
'B12';21;3;5/9/2011;118,00;18,00;2124,00;'Seco';;0,00;;'V'
'B12';21;3;5/9/2011;10,00;26,00;260,00;'B23';;0,00;;'S'
'B46';9;1;5/9/2011;76,00;18,00;1368,00;'1v cn 150lb/v';;0,00;;'V'
'B46';0;0;5/9/2011;4,00;0,50;2,00;'B45';;908,00;'CAR';'S'
'B04';22;1;5/9/2011;77,00;18,00;1386,00;'1v cn 250lb/v';;0,00;;'V'
'AD1';15;1;6/9/2011;415,00;0,75;315,00;'1v cn 1000lb/v';;598,12;;'A'
'B52';10;1;6/9/2011;195,00;0,90;177,00;'0.5v cn 500lb/v';;500,16;;'V'
'B30';16;3;6/9/2011;85,00;0,76;65,00;'1v cn 200lb/v';;593,69;;'A'
'B07';20;2;6/9/2011;163,00;4,72;770,00;'B20';;96,10;;'S'
'B07';20;1;7/9/2011;40,00;2,50;100,00;'B20';;181,60;;'A'
'B07';20;1;7/9/2011;100,00;0,55;55,00;'Venta';;825,45;;'A'
'B20';17;1;22/12/2011;300,00;1,08;325,00;'1v cn 600lb/v';;419,07;;'V'
'B20';17;2;4/1/2012;40,00;0,52;21,00;'1v cn 100lb/v';;864,76;;'A'
'B20';17;3;22/12/2011;90,00;0,77;70,00;'1v cn 200lb/v';;583,71;;'A'
'B07';0;0;6/9/2011;40,00;2,50;100,00;'B20';;181,60;'CAR';'S'
'B07';0;0;6/9/2011;100,00;0,55;55,00;;;825,45;'CAR';'V'
'B07';0;0;6/9/2011;91,00;10,00;910,00;'Alevines B20';;45,40;'CAR';'S'
'B20';0;0;;;;0,00;;;0,00;'CAR';
'B07';20;1;7/9/2011;91,00;10,00;910,00;'B20';;45,40;;'A'
'AD1';0;0;6/9/2011;415,00;0,75;315,00;'1v cn 1000lb/v';;598,12;'CAR';'V'
'B30';0;0;6/9/2011;85,00;0,76;65,00;'1v cn 200lb/v';;593,69;'CAR';'V'
'B56';13;2;7/9/2011;260,00;0,76;200,00;'1v cn 300lb/v stat=726.4g';;590,20;;'V'
'B56';13;1;7/9/2011;48,00;0,66;32,00;'1v cn 200lb/v';;681,00;;'A'
'B04';22;1;7/9/2011;20,00;18,00;360,00;'0.25v cn';;0,00;;'V'
'B56';0;0;7/9/2011;48,00;0,66;32,00;'1v cn 200lb/v 408.6g';;681,00;'CAR';'V'
'B03';41;1;;;;0,00;;;0,00;;
'B22';14;2;31/10/2011;41,00;12,00;492,00;'0.5v cn 200lb/v';;0,00;;'V'
'B47';7;2;9/9/2011;433,00;1,61;700,00;'B58 + 1380x345lb al B56 (113.5g)';;280,83;;'A'
'B07';20;2;9/9/2011;125,00;5,07;634,00;'B20';;89,51;;'S'
'B07';20;1;9/9/2011;37,00;3,51;130,00;'AD2';;129,21;;'A'
'B07';20;1;9/9/2011;20,00;1,00;20,00;'AD1';;454,00;;'A'
'B07';20;1;9/9/2011;75,00;16,00;1200,00;'B17';;28,37;;'A'
'B47';0;0;9/9/2011;433,00;1,61;700,00;'B58 + 1380x345lb al B56';;280,83;'CAR';'S'
'B58';0;0;;;;0,00;;;0,00;'CAR';
'B07';0;0;9/9/2011;37,00;3,51;130,00;'AD2';;129,21;'CAR';'S'
'B07';0;0;9/9/2011;20,00;1,00;20,00;'AD1';;454,00;'CAR';'S'
'B07';0;0;9/9/2011;75,00;16,00;1200,00;'B17';;28,37;'CAR';'S'
'AD2';0;0;;;;0,00;;;0,00;'CAR';
'B17';0;0;;;;0,00;;;0,00;'CAR';
'B40';12;1;4/8/2011;101,00;18,00;1818,00;'1v cn 150/v 46 gde 7 u12 48 16/20';;0,00;;'V'
'B21';13;3;4/8/2011;109,00;18,00;1962,00;'1v cn 130/v 45gde 20u12 44 16/20';;0,00;;'V'
'B14';19;3;4/8/2011;77,00;18,00;1386,00;'1v cn 77lbs 100/v';;0,00;;'V'
'B24';16;1;10/8/2011;174,00;18,00;3132,00;'2v cn 174lbs 300/200/v';;0,00;;'V'
'B53';7;1;5/8/2011;216,00;1,14;248,00;'B51';;395,41;;'S'
'B53';7;2;5/8/2011;213,00;1,30;277,00;'B51  + 10lbs alv 10/lbs B55';;349,10;;'A'
'B51';17;2;1/9/2011;180,00;0,61;110,00;'1v cn 400lb/v';;742,90;;'V'
'B51';17;1;1/9/2011;330,00;0,76;253,00;'1v cn 800lb/v';;592,17;;'A'
'B55';10;1;7/10/2011;54,00;3,70;200,00;'3v cc B30';;122,58;;'A'
'B53';0;0;5/8/2011;213,00;1,30;277,00;'B51';;349,10;'CAR';'S'
'B51';0;0;;;;0,00;;;0,00;'CAR';
'B55';0;0;;;;0,00;;;0,00;'CAR';
'B54';11;1;5/8/2011;71,00;1,40;100,00;'B51 + 132 alv / 23 lbs B55';;322,34;;'A'
'B44';12;1;27/10/2011;631,00;5,00;3155,00;'0.75v cn B53';;90,80;;'S'
'B54';0;0;5/8/2011;71,00;1,40;100,00;'B51 + 132 alv 23lbs B55';;322,34;'CAR';'S'
'B55';0;0;;;;0,00;;;0,00;'CAR';
'B51';0;0;;;;0,00;;;0,00;'CAR';
'B54';11;2;5/8/2011;20,00;16,00;320,00;'B46 todo comm';;0,00;;'A'
'B15';36;2;5/8/2011;5,00;2,00;10,00;'B19';;227,00;;'A'
'B15';36;1;5/8/2011;8,00;1,25;10,00;'B19';;363,20;;'S'
'B19';16;3;10/11/2011;20,00;1,10;22,00;'1v cn';;412,72;;'V'
'B19';16;2;28/9/2011;255,00;0,66;170,00;'2x0.5v cn 500lb/v';;681,00;;'A'
'B03';40;1;5/8/2011;60,00;0,31;19,00;'A01';;1433,68;;'A'
'A01';20;2;24/8/2011;45,00;15,00;675,00;'B17';;30,26;;'A'
'B01';0;0;;;;0,00;;;0,00;'CAR';
'B03';0;0;;;;0,00;;;0,00;'CAR';
'B37';12;1;8/8/2011;91,00;18,00;1638,00;'1v cn 68 16/20+23 gd 300/v';;0,00;;'V'
'B37';0;0;8/8/2011;190,00;0,27;53,00;'1v cn 190/v todo comm';;1627,54;'CAR';'V'
'B11';22;1;8/8/2011;48,00;15,00;720,00;'1v cn 91lbs todo 80lbs de tilapia';;0,00;;'V'
'B11';22;1;8/8/2011;15,00;18,00;270,00;'B03';;0,00;;'S'
'B11';22;1;8/8/2011;14,00;18,00;252,00;'B01';;0,00;;'S'
'B11';22;1;8/8/2011;14,00;18,00;252,00;'B02';;0,00;;'S'
'B12';21;3;8/8/2011;82,00;18,00;1476,00;'1v cn 82lbs 51 16/20 31 gde TIL 30lbs';;0,00;;'V'
'B11';0;0;8/8/2011;6,00;0,33;2,00;'venta';;1362,00;'CAR';'V'
'B12';0;0;8/8/2011;10,00;0,50;5,00;'venta';;908,00;'CAR';'V'
'B01';37;2;18/10/2011;5,00;18,00;90,00;'2v cc';;0,00;;'V'
'B02';40;1;23/9/2011;20,00;285,00;5700,00;'1v cc B10';;0,00;;'S'
'A03';13;1;9/11/2011;77,00;18,00;1386,00;'1v cn 280lb/v tilapia';;0,00;;'V'
'B05';22;1;2/11/2011;62,00;18,00;1116,00;'1v cn 250lb/v tilapia';;0,00;;'V'
'B06';20;1;23/9/2011;10,00;292,00;2920,00;'0.5v cc B10';;0,00;;'S'
'A02';13;1;30/8/2011;115,00;0,91;105,00;'1v cn 800lb/v';;497,23;;'A'
'B29';18;1;25/8/2011;115,00;0,74;86,00;'1v cn 600lb/v';;607,09;;'A'
'AD3';10;1;29/11/2011;495,00;0,71;352,00;'1v cn 800lb/v';;638,43;;'A'
'B03';40;1;6/8/2011;12,00;0,50;6,00;'A01';;908,00;;'A'
'B07';20;2;29/8/2011;130,00;6,32;822,00;'AD2';;71,80;;'S'
'B07';20;1;29/8/2011;26,00;3,84;100,00;'AD2';;118,04;;'A'
'B28';14;1;13/9/2011;155,00;5,00;775,00;'B15';;90,80;;'S'
'B28';14;2;13/9/2011;25,00;0,64;16,00;;;709,37;;'A'
'B30';16;2;6/9/2011;60,00;0,91;55,00;'1v cn 300lb/v';;495,27;;'V'
'B31';22;2;13/9/2011;3,00;2,00;6,00;'B35';;227,00;;'A'
'B31';22;1;13/9/2011;215,00;3,72;800,00;'B35';;122,01;;'S'
'B39';12;2;11/8/2011;77,00;0,81;63,00;'1v cn 77lbs';;554,88;;'A'
'B39';12;1;11/8/2011;230,00;1,03;237,00;'1v cn 230lbs 600/v';;440,59;;'V'
'B52';10;1;23/8/2011;293,00;0,88;260,00;'1 esquina cn 700/v';;511,62;;'V'
'B56';13;2;30/8/2011;200,00;0,67;134,00;'1v cn 400lb/v';;677,61;;'V'
'B57';5;2;30/8/2011;165,00;1,01;168,00;'1v cn 350lb/v';;445,89;;'V'
'B23';13;1;17/8/2011;89,00;18,00;1602,00;'1v cn 89lbs 300/v LILAS';;0,00;;'V'
'B26';23;1;10/8/2011;23,00;18,00;414,00;'1v cn 23lbs 200/v son pequeno';;0,00;;'V'
'B27';13;1;22/8/2011;164,00;18,00;2952,00;'2x0.5v cn 300/150lb/v';;0,00;;'V'
'B32';14;1;8/11/2011;91,00;18,00;1638,00;'0.75+0.5v cn 200+100lb/v';;0,00;;'V'
'B33';15;2;;;;0,00;;;0,00;;
'B33';15;1;;;;0,00;;;0,00;;
'B34';17;1;29/9/2011;131,00;200,00;26200,00;'B40';;0,00;;'S'
'B38';13;1;10/8/2011;67,00;18,00;1206,00;'1v cn 67lbs 400/v';;0,00;;'V'
'B38';13;2;;;;0,00;;;0,00;;
'B42';13;1;7/9/2011;91,00;18,00;1638,00;'1v cn 250lb/v';;0,00;;'V'
'B10';20;3;9/8/2011;73,00;18,00;1314,00;'1v cn 100/v 31 gde42 U12';;0,00;;'V'
'B10';20;3;9/8/2011;27,00;25,00;675,00;'A03';;0,00;;'S'
'A03';13;2;23/11/2011;10,00;18,00;180,00;'0.25v cn';;0,00;;'V'
'B10';0;0;9/8/2011;36,00;0,61;22,00;'venta';;742,90;'CAR';'V'
'B10';0;0;9/8/2011;8,00;1,25;10,00;'B25';;363,20;'CAR';'S'
'B40';12;1;9/8/2011;76,00;15,00;1140,00;'venta';;0,00;;'V'
'B40';12;1;9/8/2011;59,00;18,00;1062,00;'B42';;0,00;;'S'
'B42';13;2;16/8/2011;101,00;18,00;1818,00;'2v cn 101lbs 200/150/v';;0,00;;'V'
'B40';0;0;9/8/2011;38,00;0,44;17,00;;;1014,82;'CAR';'V'
'B40';0;0;9/8/2011;30,00;1,36;41,00;'B37';;332,19;'CAR';'S'
'B41';13;1;9/8/2011;87,00;15,00;1305,00;'1v cn';;0,00;;'V'
'B41';13;1;9/8/2011;25,00;18,00;450,00;'B42';;0,00;;'S'
'B41';0;0;9/8/2011;23,00;0,56;13,00;;;803,23;'CAR';'V'
'B41';0;0;9/8/2011;20,00;1,40;28,00;'B39';;324,28;'CAR';'S'
'B39';0;0;;;;0,00;;;0,00;'CAR';
'B46';9;1;9/8/2011;91,00;15,00;1365,00;;;0,00;;'V'
'B46';9;1;9/8/2011;101,00;18,00;1818,00;'B42';;0,00;;'S'
'B46';0;0;9/8/2011;25,00;0,68;17,00;;;667,64;'CAR';'V'
'B46';0;0;9/8/2011;28,00;1,32;37,00;'B42';;343,56;'CAR';'S'
'B42';0;0;;;;0,00;;;0,00;'CAR';
'B47';7;2;11/8/2011;55,00;0,67;37,00;'1v cn 55lbs 180/v';;674,86;;'A'
'B47';7;1;11/8/2011;187,00;0,34;64,00;'1v cn 187lbs 300/v';;1326,53;;'A'
'B47';0;0;11/8/2011;55,00;0,67;37,00;'180/v';;674,86;'CAR';'V'
'B39';0;0;11/8/2011;77,00;0,81;63,00;;;554,88;'CAR';'V'
'B35';22;2;11/8/2011;275,00;1,26;347,00;'1v cn 275lbs 350/v';;359,79;;'V'
'B35';22;1;11/8/2011;37,00;18,00;666,00;;;0,00;;'A'
'B13';20;1;11/8/2011;43,00;18,00;774,00;'1v cn 43lbs 23lb 16/20 20lb U12';;0,00;;'V'
'B08';27;1;12/8/2011;83,00;18,00;1494,00;'1v cn 83lbs 180/v';;0,00;;'V'
